report_category,manufacturer_normalized,manufacturer_name_raw,manufacturer_catalog_number,Product_Description,contract_category,total_observed_spend,transaction_count
CT,OTHER,ABBOTT LABORATORIES INC.,C12616,CABLE MONITOR P MIDA ADAPTER CONNECTION RECEIVER EA,PHYSIOLOGICAL MONITORING SYSTEMS,9800.0,11
CT,OTHER,ABBOTT LABORATORIES INC.,C12988,ADAPTER MONITOR CABLE PDM CONNECTION COMPATIBLE RECEIVER F/REUSABLE RADIANALYZER WI-BOX GE,PHYSIOLOGICAL MONITORING SYSTEMS,600.0,1
CT,OTHER,AD-TECH MEDICAL INSTRUMENT CORPORATION,L-DCL-12BDIN,CABLE EEG 12-CONTACT LIGHTWEIGHT TECH-ATTACH 94MM,PHYSIOLOGICAL MONITORING SYSTEMS,9110.0,2
CT,OTHER,"ADVANTAGE MEDICAL ELECTRONICS, INC.",CB-A400-1006VN,CABLE PULSE OXIMETER 4FT NELLCOR SPO2 FEMALE 9-PIN D-SUB LATCH MALE 8-PIN CONNECTOR F/PHILIPS VIRIDIA ADAPTER EA,PHYSIOLOGICAL MONITORING SYSTEMS,206.2,1
CT,OTHER,"ADVANTAGE MEDICAL ELECTRONICS, INC.",CB-A400-1103A,CABLE PULSE OXIMETER 10FT SPO2 FEMALE 9-PIN D-SUB LATCH MALE 10-PIN CONNECTOR F/SPACELABS ADAPTER EA,PHYSIOLOGICAL MONITORING SYSTEMS,740.62,3
CT,OTHER,"ALIMED, INC.",2970013420,EYEWEAR RADIOLOGY ATTENURAD CT 931936 1PK/20EA,COMPUTED TOMOGRAPHY,7161.45,14
CT,OTHER,ALPHA SOURCE INC,AS35943,BATTERY PRODUCT SPECIFIC 12V 700MAH NIMH F/146005301 EA,PHYSIOLOGICAL MONITORING SYSTEMS,158.13,1
CT,OTHER,ALPHA SOURCE INC,DR202P,BATTERY PRODUCT SPECIFIC 10.8V 7800MA 87W LITHIUM ION,PHYSIOLOGICAL MONITORING SYSTEMS,1712.0,6
CT,OTHER,AMERICAN DIAGNOSTIC CORPORATION,804C,CONNECTOR BLOOD PRESSURE LUER F/804 GAUGE LATEX-FREE EA,PHYSIOLOGICAL MONITORING SYSTEMS,4.88,2
CT,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9005M,STAND MONITOR MOBILE COMPACT W/BASKET F/ADVIEW 2 DIAGNOSTIC STATION,PHYSIOLOGICAL MONITORING SYSTEMS,340.17,1
CT,OTHER,"ANYBATTERY, INC.",7170-2,KIT BATTERY PRODUCT SPECIFIC 6V LEAD ACID 1.89IN X 2.76IN X 3.98IN 5000 MAH SEALED F/WELCH ALLYN 53000 VSM,PHYSIOLOGICAL MONITORING SYSTEMS,319.31999999999994,8
CT,OTHER,ASHLAND SPECIALTY INGREDIENTS G.P.,828224,"XR-CT2 MEASURE RADIATION BEAM SLICE-WIDTH, AND BEAM POSITION ALIGNMENT ON CT, SCANNERS BOX OF 50 STRIPS: SIZE 10 X 1.9 CM",COMPUTED TOMOGRAPHY,836.0,1
CT,OTHER,B. BRAUN MEDICAL INC.,770284A,CABLE MONITOR EXTERNAL CONNECTION MEDICAL EQUIPMENT,PHYSIOLOGICAL MONITORING SYSTEMS,10242.76,8
CT,OTHER,BAYER HEALTHCARE LLC,0,UNKNOWN,COMPUTED TOMOGRAPHY,20746.02,1
CT,OTHER,BAYER HEALTHCARE LLC,85577026,SYSTEM INJECTION COMPUTED TOMOGRAPHY DUAL W/X-RAY,COMPUTED TOMOGRAPHY,1469234.5,67
CT,OTHER,BAYER HEALTHCARE LLC,60937093,OVERLAY GRAPHICS HEAD STELLANTD/DX(EN) SPARE PARTS,COMPUTED TOMOGRAPHY,875.5799999999999,12
CT,OTHER,BAYER HEALTHCARE LLC,3008614,CABLE EXTENSION 75FT HEAD F/CT SCANNER,COMPUTED TOMOGRAPHY,4052.0,2
CT,OTHER,BEEKLEY CORPORATION,221,MEDIA CONTRAST BREEZA IONIC IODINATED 16.9OZ SUGAR-FREE GLUTEN-FREE BOTTLE LEMON LIME FLAVORED F/NEUTRAL ABDOMINAL/PELVIC IMAGING ORAL,COMPUTED TOMOGRAPHY,1448566.2809999988,4566
CT,OTHER,BEEKLEY CORPORATION,220,MEDIA CONTRAST BREEZA IONIC IODINATED 16OZ ORAL CONTRAST SUGAR-FREE GLUTEN-FREE BOTTLE F/NEUTRAL ABDOMINAL/PELVIC IMAGING TROPICAL FRUIT,COMPUTED TOMOGRAPHY,320898.60199999996,1355
CT,OTHER,"BELMONT INSTRUMENT, LLC DBA BELMONT MEDICAL TECHNOLOGIES",014-00220,DISPOSABLE RECTAL TEMPERATURE PROBE (10/BOX),PHYSIOLOGICAL MONITORING SYSTEMS,140.0,1
CT,OTHER,"BIODEX MEDICAL SYSTEMS, INC.",058-870,TABLE PAIN MANAGEMENT C-ARM-870 115VAC,COMPUTED TOMOGRAPHY,20995.0,1
CT,OTHER,"BIODEX MEDICAL SYSTEMS, INC.",C12814,BOX CONTROL SINGLE MODULE WALL-MOUNTED,COMPUTED TOMOGRAPHY,740.0,1
CT,OTHER,BIOPAC SYSTEMS,EL512,ELECTRODE EKG 1IN SMALL ROUND DRY MEDIUM ADHESIVE STANDARD SNAP CONNECTION FOAM BACKING INFANT DISPOSABLE 100/PK,PHYSIOLOGICAL MONITORING SYSTEMS,106.0,2
CT,OTHER,BIOPAC SYSTEMS,RSP100C,AMPLIFIER BREATHING F/DIRECT PHYSICAL RESPIRATORY EFFORT MEASUREMENT,PHYSIOLOGICAL MONITORING SYSTEMS,860.0,1
CT,OTHER,"BIOSENSE WEBSTER, INC.",EM5400201,UNIT EKG CARTO 3 DUAL OUT CONNECTION EA,PHYSIOLOGICAL MONITORING SYSTEMS,4788.0,1
CT,OTHER,BOSTON SCIENTIFIC CORPORATION,SPSA-1005082,NEW FOOT SWITCH FOR ACUPULSE,COMPUTED TOMOGRAPHY,2509.0,4
CT,OTHER,BOSTON SCIENTIFIC CORPORATION,SP-1102080,DIGITAL ACUBLADE MICRO SWITCH KIT,COMPUTED TOMOGRAPHY,1592.0,2
CT,OTHER,BOSTON SCIENTIFIC CORPORATION,0,UNKNOWN,COMPUTED TOMOGRAPHY,5990.32,2
CT,OTHER,BRACCO DIAGNOSTICS INC.,017419,PLATE CEILING MOUNTING CT CONTRAST MEDIUM,COMPUTED TOMOGRAPHY,5680.17,7
CT,OTHER,BRACCO DIAGNOSTICS INC.,390402,SET ADMINISTRATION PROTOCO2L INJECTION W/20FR SMALL CATHETER RETENTION CUFF F/PROTOCO2L VIRTUAL COLONOSCOPY INSUFFLATION SYSTEM,COMPUTED TOMOGRAPHY,172730.41699999993,184
CT,OTHER,"BURLINGTON MEDICAL, LLC",CT SLICKER,COVER RADIOLOGY CT SLICKERS F/X-RAY ANGIO GE OMEGA IV TABLE 3IN-4IN THK PAD,COMPUTED TOMOGRAPHY,766.0,1
CT,OTHER,"BURLINGTON MEDICAL, LLC",CT-GCVF-02A,COVER CT SCAN TABLE FOOT SWITCH SLICKER 28IN X 23 1/2IN BELL-SHAPED F/DISCOVERY CT750 HD/VCT SYSTEM,COMPUTED TOMOGRAPHY,262.0,3
CT,OTHER,"BURLINGTON MEDICAL, LLC",RME AC-G132-03A,"SLICKER TBLCVR GE 132""",COMPUTED TOMOGRAPHY,915.04,2
CT,OTHER,"CABLES AND SENSORS, LLC",DHP-30-PH0,CABLE MONITOR W/FEMALE MONOPLUG CONNECTOR F/PHILIPS TEMPERATURE ADAPTER,PHYSIOLOGICAL MONITORING SYSTEMS,5865.799999999999,17
CT,OTHER,"CABLES AND SENSORS, LLC",E708-740,CABLE PULSE OXIMETER ADAPTER 4MM 7FT 10-PIN DISTAL/FEMALE 9-PIN D-SUB PROXIMAL CONNECTOR GRAY THERMOPLASTIC POLYURETHANE F/SPACELABS LATEX-FREE NON-STERILE EA,PHYSIOLOGICAL MONITORING SYSTEMS,10154.891999999998,25
