year_quarter,report_category,manufacturer_normalized,transaction_spend,supplier_spend,spend_delta,transaction_to_supplier_ratio
2023-Q%q,CT,CANON,1692610.1899999997,3646324.680000401,-1953714.4900004014,0.46419623553649464
2023-Q%q,MRI,CANON,1300019.2099999997,1859166.6,-559147.3900000004,0.6992483675212322
2023-Q%q,CT,OTHER,1972777.9729999995,1025354.83,947423.1429999996,1.9239953967935175
2023-Q%q,CT,PHILIPS,3126227.22,1403524.0400004,1722703.1799996002,2.227412663340707
2023-Q%q,CT,SAMSUNG,608785.3500000001,0.0,608785.3500000001,
2023-Q%q,CT,SIEMENS,33296631.159999993,15422316.880000098,17874314.279999897,2.158990210036443
2023-Q%q,Monitoring,SPACELABS,2976509.1620000005,3427262.1700020004,-450753.00800199993,0.8684801495644738
2023-Q%q,Monitoring,SIEMENS,11329.2,0.0,11329.2,
2023-Q%q,Monitoring,PHILIPS,53481162.327000014,42338873.1600221,11142289.166977912,1.2631692422437653
2023-Q%q,Monitoring,OTHER,9959510.971,7367828.640111401,2591682.3308886,1.3517565971579673
2023-Q%q,Monitoring,NIHON KOHDEN,3277907.5319999997,6468960.920003999,-3191053.3880039994,0.5067131448983886
2023-Q%q,Monitoring,GE,7935764.820999997,28891919.697574995,-20956154.876575,0.27467073507289563
2023-Q%q,MRI,SIEMENS,20979622.009999998,13031871.68,7947750.329999998,1.6098702109074172
2023-Q%q,MRI,PHILIPS,3079680.374,445431.2399994,2634249.1340006,6.913929912064875
2023-Q%q,CT,GE,16782234.889999997,11975178.049999796,4807056.840000201,1.401418402292589
2023-Q%q,MRI,OTHER,6855378.87,70442.18,6784936.69,97.31923217027072
2023-Q%q,MRI,GE,9204006.43,9827847.270000001,-623840.8400000017,0.9365231446051968
2024-Q%q,MRI,OTHER,14091225.554999996,3532974.1600001003,10558251.394999895,3.9884881453533176
2024-Q%q,Monitoring,GE,51355442.62000003,62323227.25784799,-10967784.63784796,0.8240177038253927
2024-Q%q,Monitoring,SPACELABS,20654933.820000008,33766470.11001459,-13111536.29001458,0.6116995277476187
2024-Q%q,CT,SIEMENS,112386618.99899998,98790408.91333,13596210.08566998,1.137626822636174
2024-Q%q,CT,CANON,8488216.56,19477996.11333509,-10989779.553335091,0.43578489853937125
2024-Q%q,MRI,GE,31647976.781999994,52154251.37000131,-20506274.588001315,0.6068148990861298
2024-Q%q,Monitoring,SIEMENS,23318.6,0.0,23318.6,
2024-Q%q,CT,GE,51774465.55500005,36789479.13000061,14984986.424999438,1.4073171672816556
2024-Q%q,CT,OTHER,10680304.890000004,1081875.0,9598429.890000004,9.872032249566729
2024-Q%q,Monitoring,PHILIPS,189660810.96000016,189377174.3433943,283636.6166058481,1.0014977339142865
2024-Q%q,MRI,PHILIPS,5890968.930000001,3903713.9099999997,1987255.020000001,1.5090677918044464
2024-Q%q,Monitoring,OTHER,34188029.89300001,29229617.7708306,4958412.122169405,1.169636570722372
2024-Q%q,CT,PHILIPS,11708981.964,6426864.3800003985,5282117.583999601,1.821880978294313
2024-Q%q,Monitoring,NIHON KOHDEN,30201797.708000015,29559048.390007198,642749.3179928176,1.0217445876305715
2024-Q%q,CT,SAMSUNG,2975778.4700000007,0.0,2975778.4700000007,
2024-Q%q,MRI,SIEMENS,67240950.06000003,95955334.9100001,-28714384.85000007,0.7007525962268559
2024-Q%q,MRI,CANON,2024030.7799999993,3865181.6299999002,-1841150.849999901,0.5236573526817812
2025-Q%q,CT,CANON,7891927.09,12847092.830001796,-4955165.740001796,0.6142967280169406
2025-Q%q,Monitoring,GE,36359895.238,41760163.443340704,-5400268.205340706,0.8706837387581666
2025-Q%q,MRI,SIEMENS,62815409.40000001,67912425.26333301,-5097015.863332994,0.9249472266147304
2025-Q%q,CT,GE,40192785.537999995,31613919.850000314,8578865.68799968,1.2713635553169025
2025-Q%q,Monitoring,NIHON KOHDEN,18954962.28299999,6189594.453334602,12765367.829665387,3.062391635818423
2025-Q%q,MRI,PHILIPS,3880256.7099999995,2714130.1300005,1166126.5799994995,1.4296502098811616
2025-Q%q,CT,OTHER,13459255.284999998,602295.0,12856960.284999998,22.346616334188393
2025-Q%q,Monitoring,OTHER,29880500.102999993,22579317.110022224,7301182.992977768,1.3233571218031661
2025-Q%q,Monitoring,PHILIPS,123643452.7729999,100877313.0400346,22766139.73296529,1.225681464413413
2025-Q%q,CT,PHILIPS,11708292.300000003,7194180.396667201,4514111.903332802,1.627467154621814
2025-Q%q,CT,SAMSUNG,3781458.1200000006,0.0,3781458.1200000006,
2025-Q%q,MRI,OTHER,19025632.550000004,1803292.8100001002,17222339.739999905,10.550495429524254
2025-Q%q,MRI,GE,34937776.85999999,28607631.660001203,6330145.199998789,1.2212747030314122
2025-Q%q,Monitoring,SIEMENS,18992.0,0.0,18992.0,
2025-Q%q,Monitoring,SPACELABS,13405029.732000018,15247009.420007203,-1841979.6880071852,0.8791907555595703
2025-Q%q,CT,SIEMENS,89902521.83199996,75999853.4300006,13902668.401999354,1.1829302001852458
2025-Q%q,MRI,CANON,2433861.340000001,2271623.7066667,162237.6333333007,1.0714192376392138
