Facility_Product_Description,Facility_Manufacturer_Name,Facility_Vendor_Name,count_txns,sum_base_spend,last_month
SR: TUBE,UNKNOWN,GE HEALTHCARE,35,3107000.0,2025-09
ED CT REPLACEMENT,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,2459049.9,2025-05
CT - REVOLUTION APEX ELITE POWER PRO  DIGITAL & PR,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,2212651.9,2025-04
GE REVOLUTION APEX,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1959820.0,2025-03
GE REVOLUTION ASCEND 72KW DIGITAL- QUOTE #20094970,UNKNOWN,GE MEDICAL SYSTEMS INFO TECH,3,1894589.67,2024-04
REVOLTUION ASCEND CT SCANNER,UNKNOWN,GE HEALTHCARE OEC,2,1845776.18,2024-12
REVOLUTION APEX ELITE POWER XTREAM DIGITAL QUOTE:,UNKNOWN,GE PRECISION HEALTHCARE LLC,2,1799658.83,2025-02
"SR: CT SYSTEM, REVOLUTION APEX",UNKNOWN,GE PRECISION HEALTHCARE LLC,2,1776907.62,2025-03
S7919DZ,UNKNOWN,GE MED SYSTEMS,1,1725102.71,2025-02
REVOLUTION APEX ELITE POWER,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1712839.54,2024-06
REPLACE CT SCANNER CG 2ND UNIT,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1712839.54,2024-06
REPLACE VCT SCANNER UH ED,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1712839.54,2024-06
REPLACE TOSHIBA CT UNIT,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1712839.54,2024-06
GE 256 SLICE SCANNER- APEX,GE HEALTHCARE,GE PRECISION HEALTHCARE LLC,2,1690629.41,2025-07
REVOLUTION APEX ELITE POWER XTREAM DIGITAL,UNKNOWN,GE HEALTHCARE,2,1687727.79,2023-12
GE CT SCANNER - LONG TABLE,GE MEDICAL SYSTEMS INFO TECH,GE MEDICAL SYSTEMS INFO TECH,1,1683591.37,2023-10
G.E. REVOLUTION APEX EQUIPMENT PER QUOTE NUMBER 2009563948.10  - BACKUS CHEFA CT ROOM REDESIGN PROJE,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1674010.0,2024-09
GE REVOLUTION APEX CT SCANNER,UNKNOWN,GE MEDICAL SYSTEMS INFO TECH,1,1667037.44,2023-11
REVOLUTION APEX ELITE POWER PRO CT,UNKNOWN,GE HEALTHCARE MEDICAL DIAGNOSTICS,1,1651052.6,2025-08
REVOLUTION ASCEND CT,GE MEDICAL SYSTEMS INFO TECH,GE MEDICAL SYSTEMS INFO TECH,4,1649933.8,2024-04
GE REVOLUTION APEX ELITE POWER PRO DIGITAL CT SCANNER PER QUOTE 2008945699.7 DATED 3-27-24. HOCC MAI,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1636740.0,2024-06
REVOLUTION ASCEND PLUS 72KW,UNKNOWN,GE PRECISION HEALTHCARE LLC,2,1599780.03,2024-12
GE REVOLUTION APEX CT SCANNER,GE MEDICAL SYSTEMS INFO TECH,GE MEDICAL SYSTEMS INFO TECH,1,1552077.98,2023-10
REVOLUTION APEX ELITE POWER XTREAM DIGITAL,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1548380.99,2024-12
REVOLUTION APEX POWER PRO DIGITAL,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1537390.19,2023-12
REVOLUTION ASCEND PLUS 72KW,UNKNOWN,GE HEALTHCARE,2,1520494.12,2024-08
SR: REVOLUTION APEX PLUS POWER,UNKNOWN,GE PRECISION HEALTHCARE LLC,2,1509808.81,2024-12
GE APEX 80MM- CC+,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1434286.0,2025-06
CT APEX 80 - REVOLUTION APEX PLUS POWER XTREAM DIGITAL,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1407571.79,2025-05
REVOLUTION APEX ELITE POWER CORE,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1386199.84,2025-06
GENEVA CT REVOLUTION APEX SELE,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1364566.19,2024-07
REVOLUTION APEX PLUS POWER PRO,NULL,GE PRECISION HEALTHCARE LLC,2,1360570.4899999998,2024-07
ED CT 4: REPLACEMENT QUOTE NUMBER: 2005803977.16,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1330119.79,2025-04
