term_order,term_key,term_label,is_ct_mapped,match_evidence_fields,Transaction_Date,Month,Base_Spend,Quantity,unit_price,Product_Description_Backfilled,Facility_Product_Description,Facility_Manufacturer_Name,Facility_Vendor_Name,Facility_Manufacturer_Catalog_Num,Facility_Vendor_Catalog_Num,Brand_Name,Manufacturer_Name,Manufacturer_Top_Parent_Name,Vendor_Name,Vendor_Top_Parent_Name,Manufacturer_Catalog_Number,Vendor_Catalog_Number,Contract_Category,product_group_category,product_subcategory1,product_subcategory2,product_subcategory3,UNSPSC_Segment_Code,UNSPSC_Segment_Description,UNSPSC_Class_Code,UNSPSC_Class_Description,UNSPSC_Commodity_Code,UNSPSC_Commodity_Description
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2025-04-04,2025-04,2212651.9,1.0,2212651.9,CT - REVOLUTION APEX ELITE POWER PRO  DIGITAL & PR,CT - REVOLUTION APEX ELITE POWER PRO  DIGITAL & PR,UNKNOWN,GE PRECISION HEALTHCARE LLC,UNKNOWN,S7919CL & S13441DA,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2025-03-24,2025-03,1959820.0,1.0,1959820.0,GE REVOLUTION APEX,GE REVOLUTION APEX,UNKNOWN,GE PRECISION HEALTHCARE LLC,UNKNOWN,2009734405.13,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,vendor_catalog_num,2025-02-03,2025-02,1725102.71,1.0,1725102.71,S7919DZ,S7919DZ,UNKNOWN,GE MED SYSTEMS,UNKNOWN,REVOLUTION APEX ELITE,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2024-06-28,2024-06,1712839.54,1.0,1712839.54,REVOLUTION APEX ELITE POWER,REVOLUTION APEX ELITE POWER,UNKNOWN,GE PRECISION HEALTHCARE LLC,UNKNOWN,PER Q#2009257499.10,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2024-09-06,2024-09,1674010.0,1.0,1674010.0,G.E. REVOLUTION APEX EQUIPMENT PER QUOTE NUMBER 2009563948.10  - BACKUS CHEFA CT ROOM REDESIGN PROJE,G.E. REVOLUTION APEX EQUIPMENT PER QUOTE NUMBER 2009563948.10  - BACKUS CHEFA CT ROOM REDESIGN PROJE,UNKNOWN,GE PRECISION HEALTHCARE LLC,UNKNOWN,UNKNOWN,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2023-11-29,2023-11,1667037.44,1.0,1667037.44,GE REVOLUTION APEX CT SCANNER,GE REVOLUTION APEX CT SCANNER,UNKNOWN,GE MEDICAL SYSTEMS INFO TECH,UNKNOWN,2006769218.7,,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.",GE HEALTHCARE TECHNOLOGIES INC.,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.",GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2025-08-19,2025-08,1651052.6,1.0,1651052.6,REVOLUTION APEX ELITE POWER PRO CT,REVOLUTION APEX ELITE POWER PRO CT,UNKNOWN,GE HEALTHCARE MEDICAL DIAGNOSTICS,UNKNOWN,2009088596.18,,GE HEALTHCARE MEDICAL DIAGNOSTICS,GE HEALTHCARE TECHNOLOGIES INC.,GE HEALTHCARE MEDICAL DIAGNOSTICS,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2024-06-04,2024-06,1636740.0,1.0,1636740.0,GE REVOLUTION APEX ELITE POWER PRO DIGITAL CT SCANNER PER QUOTE 2008945699.7 DATED 3-27-24. HOCC MAI,GE REVOLUTION APEX ELITE POWER PRO DIGITAL CT SCANNER PER QUOTE 2008945699.7 DATED 3-27-24. HOCC MAI,UNKNOWN,GE PRECISION HEALTHCARE LLC,UNKNOWN,UNKNOWN,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2023-10-11,2023-10,1552077.98,1.0,1552077.98,GE REVOLUTION APEX CT SCANNER,GE REVOLUTION APEX CT SCANNER,GE MEDICAL SYSTEMS INFO TECH,GE MEDICAL SYSTEMS INFO TECH,UNKNOWN,UNKNOWN,,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.",GE HEALTHCARE TECHNOLOGIES INC.,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.",GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
1,REVOLUTION_APEX,Revolution Apex,True,backfilled_description,2024-12-20,2024-12,1548380.99,1.0,1548380.99,REVOLUTION APEX ELITE POWER XTREAM DIGITAL,REVOLUTION APEX ELITE POWER XTREAM DIGITAL,UNKNOWN,GE PRECISION HEALTHCARE LLC,UNKNOWN,S7919CK,,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,GE PRECISION HEALTHCARE LLC,GE HEALTHCARE TECHNOLOGIES INC.,0,,COMPUTED TOMOGRAPHY,,,,,42,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,422015,MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS,42201500,UNKNOWN MEDICAL COMPUTED TOMOGRAPHY CT OR CAT SYSTEMS AND RELATED PRODUCTS
