report_category,manufacturer_normalized,year_quarter,quarter_start,total_observed_spend,share_of_observed_spend,yoy_growth
CT,CANON,2023-Q4,2023-10-01,2216200.11,0.04437685368456952,
CT,SPACELABS,2023-Q4,2023-10-01,29582.930000000008,0.0005923640876323495,
CT,OTHER,2023-Q4,2023-10-01,2537746.4959999984,0.05081544957667244,
CT,NIHON KOHDEN,2023-Q4,2023-10-01,79749.17,0.001596885241809622,
CT,SIEMENS,2023-Q4,2023-10-01,24773992.679999992,0.49607065868386585,
CT,SAMSUNG,2023-Q4,2023-10-01,788454.0200000001,0.015787883289361742,
CT,PHILIPS,2023-Q4,2023-10-01,3874181.8129999996,0.07757602695133936,
CT,GE,2023-Q4,2023-10-01,15640544.299999995,0.3131838784847491,
CT,SAMSUNG,2024-Q1,2024-01-01,872939.02,0.027619892247586937,
CT,CANON,2024-Q1,2024-01-01,1953738.81,0.06181652346360771,
CT,OTHER,2024-Q1,2024-01-01,1821479.4309999994,0.057631821310285734,
CT,GE,2024-Q1,2024-01-01,4915495.02,0.15552683484804034,
CT,SPACELABS,2024-Q1,2024-01-01,5640.2699999999995,0.00017845879961614862,
CT,SIEMENS,2024-Q1,2024-01-01,19442330.431,0.6151575989193386,
CT,NIHON KOHDEN,2024-Q1,2024-01-01,322992.58,0.010219522844070029,
CT,PHILIPS,2024-Q1,2024-01-01,2270830.6929999986,0.07184934756745451,
CT,GE,2024-Q2,2024-04-01,22187021.134999998,0.38054373192644003,
CT,NIHON KOHDEN,2024-Q2,2024-04-01,115608.69999999998,0.0019828784528340077,
CT,SAMSUNG,2024-Q2,2024-04-01,848419.6299999999,0.014551785490957007,
CT,OTHER,2024-Q2,2024-04-01,2040490.3539999998,0.0349977497901303,
CT,SPACELABS,2024-Q2,2024-04-01,83694.25000000001,0.0014354933923753377,
CT,SIEMENS,2024-Q2,2024-04-01,22758840.810999997,0.39035137542080445,
CT,CANON,2024-Q2,2024-04-01,1525112.1099999999,0.02615816924742869,
CT,PHILIPS,2024-Q2,2024-04-01,8744285.839999996,0.14997881627903017,
CT,SIEMENS,2024-Q3,2024-07-01,24520057.95499999,0.4567757930050062,
CT,SAMSUNG,2024-Q3,2024-07-01,697993.04,0.013002674175693037,
CT,OTHER,2024-Q3,2024-07-01,4081326.098999999,0.0760296312840731,
CT,SPACELABS,2024-Q3,2024-07-01,11083.510000000002,0.00020647092591787958,
CT,GE,2024-Q3,2024-07-01,14575333.045,0.2715189059569231,
CT,NIHON KOHDEN,2024-Q3,2024-07-01,102800.62000000001,0.001915037672752773,
CT,CANON,2024-Q3,2024-07-01,5086647.0,0.09475741131711923,
CT,PHILIPS,2024-Q3,2024-07-01,4605488.599999999,0.08579407566251472,
CT,SPACELABS,2024-Q4,2024-10-01,74765.75999999998,0.0012950219055997702,1.5273277528628828
CT,GE,2024-Q4,2024-10-01,11929059.455,0.20662390521312243,-0.2372989567249265
CT,SAMSUNG,2024-Q4,2024-10-01,589565.0099999999,0.010211888473081096,-0.2522518814730632
CT,SIEMENS,2024-Q4,2024-10-01,34676617.362,0.6006356264671333,0.39971856010090717
CT,NIHON KOHDEN,2024-Q4,2024-10-01,3857411.56,0.06681444111734816,47.36930039522669
CT,CANON,2024-Q4,2024-10-01,400915.34,0.006944277000474281,-0.8190978611583951
CT,PHILIPS,2024-Q4,2024-10-01,1878338.2569999995,0.03253480187911005,-0.5151651761161165
CT,OTHER,2024-Q4,2024-10-01,4326528.2749999985,0.07494003794413093,0.7048701601280829
CT,CANON,2025-Q1,2025-01-01,1772379.66,0.0318882812882106,-0.09282671208235871
CT,NIHON KOHDEN,2025-Q1,2025-01-01,189732.99,0.0034136359671230083,-0.412577867887863
CT,OTHER,2025-Q1,2025-01-01,3478617.3349999995,0.062586549922676,0.9097757986156477
CT,SIEMENS,2025-Q1,2025-01-01,22756444.270999998,0.4094291490758456,0.17045867272761586
CT,PHILIPS,2025-Q1,2025-01-01,8371021.3100000005,0.15060965109636001,2.6863255969739557
CT,SPACELABS,2025-Q1,2025-01-01,28787.589999999997,0.0005179402518812919,4.103938286642306
CT,SAMSUNG,2025-Q1,2025-01-01,1840877.8500000003,0.0331206862857117,1.1088275444486377
CT,GE,2025-Q1,2025-01-01,17143047.979999997,0.3084341061121918,2.4875527104084014
CT,GE,2025-Q2,2025-04-01,21509060.418000005,0.30342330610305873,-0.030556635470568447
CT,NIHON KOHDEN,2025-Q2,2025-04-01,36671.240000000005,0.0005173126423684738,-0.68279861290716
CT,OTHER,2025-Q2,2025-04-01,9011723.718000002,0.12712628776265072,3.4164500461049485
CT,CANON,2025-Q2,2025-04-01,6194152.88,0.08737947213094216,3.0614410176049285
CT,SAMSUNG,2025-Q2,2025-04-01,1336857.9500000002,0.01885874376175447,0.575703699830708
CT,SPACELABS,2025-Q2,2025-04-01,30945.48,0.0004365406795123578,-0.6302556029834787
CT,PHILIPS,2025-Q2,2025-04-01,1377071.2929999998,0.019426024026228745,-0.8425175802578749
CT,SIEMENS,2025-Q2,2025-04-01,31391481.081,0.44283231289348446,0.37930931288150677
CT,NIHON KOHDEN,2025-Q3,2025-07-01,55647.520000000004,0.0010665874839763223,-0.4586849768026691
CT,PHILIPS,2025-Q3,2025-07-01,4533412.629999999,0.0868912248175333,-0.015650015939676794
CT,CANON,2025-Q3,2025-07-01,2296191.77,0.04401075560404916,-0.5485844073709066
CT,OTHER,2025-Q3,2025-07-01,2884913.8500000006,0.055294701448688914,-0.29314301772973783
CT,SAMSUNG,2025-Q3,2025-07-01,1680477.0899999996,0.03220944673370801,1.4075843077174517
CT,GE,2025-Q3,2025-07-01,10391805.600000003,0.1991781446661964,-0.2870279143594003
CT,SIEMENS,2025-Q3,2025-07-01,30304574.27,0.5808431287434352,0.23590956944783498
CT,SPACELABS,2025-Q3,2025-07-01,26400.300000000007,0.0005060105024126879,1.3819439870582515
MRI,CANON,2023-Q4,2023-10-01,1418693.34,0.03500994562426646,
MRI,GE,2023-Q4,2023-10-01,9594210.880000003,0.23676209068306878,
MRI,PHILIPS,2023-Q4,2023-10-01,5236975.124000001,0.12923597310104812,
MRI,SIEMENS,2023-Q4,2023-10-01,21551147.4,0.5318305777163593,
MRI,OTHER,2023-Q4,2023-10-01,2721553.7600000002,0.0671614128752574,
