quarter_start,calendar_quarter,report_category,bucket,spend
2023-10-01,2023-Q4,CT,GE,17673456.629999995
2023-10-01,2023-Q4,CT,OTHER,44515760.793000005
2023-10-01,2023-Q4,MRI,GE,9338388.460000003
2023-10-01,2023-Q4,MRI,OTHER,37140106.134
2023-10-01,2023-Q4,Monitoring,GE,17082356.696999997
2023-10-01,2023-Q4,Monitoring,OTHER,71689727.392
2024-01-01,2024-Q1,CT,GE,5384204.449999999
2024-01-01,2024-Q1,CT,OTHER,30612855.196
2024-01-01,2024-Q1,MRI,GE,11391087.810000002
2024-01-01,2024-Q1,MRI,OTHER,14719873.995000001
2024-01-01,2024-Q1,Monitoring,GE,10941943.526000004
2024-01-01,2024-Q1,Monitoring,OTHER,68232779.64799999
2024-04-01,2024-Q2,CT,GE,21763802.485
2024-04-01,2024-Q2,CT,OTHER,45176587.905
2024-04-01,2024-Q2,MRI,GE,15349130.449999997
2024-04-01,2024-Q2,MRI,OTHER,31998417.26
2024-04-01,2024-Q2,Monitoring,GE,11193677.677000001
2024-04-01,2024-Q2,Monitoring,OTHER,82424612.06700005
2024-07-01,2024-Q3,CT,GE,14760810.639999997
2024-07-01,2024-Q3,CT,OTHER,45731304.043000005
2024-07-01,2024-Q3,MRI,GE,8689746.92
2024-07-01,2024-Q3,MRI,OTHER,22982512.950000003
2024-07-01,2024-Q3,Monitoring,GE,20702415.051000006
2024-07-01,2024-Q3,Monitoring,OTHER,73245445.06299998
2024-10-01,2024-Q4,CT,GE,14065866.319999998
2024-10-01,2024-Q4,CT,OTHER,44305635.48000002
2024-10-01,2024-Q4,MRI,GE,8506956.511999998
2024-10-01,2024-Q4,MRI,OTHER,31694309.779999994
2024-10-01,2024-Q4,Monitoring,GE,10395651.615999995
2024-10-01,2024-Q4,Monitoring,OTHER,88780887.822
2025-01-01,2025-Q1,CT,GE,17010418.24
2025-01-01,2025-Q1,CT,OTHER,41339860.66300001
2025-01-01,2025-Q1,MRI,GE,19402328.707999997
2025-01-01,2025-Q1,MRI,OTHER,39857132.69
2025-01-01,2025-Q1,Monitoring,GE,16079598.307
2025-01-01,2025-Q1,Monitoring,OTHER,78915625.41999999
2025-04-01,2025-Q2,CT,GE,21212593.187999994
2025-04-01,2025-Q2,CT,OTHER,52089632.566
2025-04-01,2025-Q2,MRI,GE,9309384.442000004
2025-04-01,2025-Q2,MRI,OTHER,30719719.17
2025-04-01,2025-Q2,Monitoring,GE,9368007.901
2025-04-01,2025-Q2,Monitoring,OTHER,357858356.7859994
2025-07-01,2025-Q3,CT,GE,9692948.719999997
2025-07-01,2025-Q3,CT,OTHER,50278203.654999994
2025-07-01,2025-Q3,MRI,GE,12277537.530000001
2025-07-01,2025-Q3,MRI,OTHER,34830297.690000005
2025-07-01,2025-Q3,Monitoring,GE,26150615.173999995
2025-07-01,2025-Q3,Monitoring,OTHER,64388659.385999985
