Health_System_Entity_Code,total_spend,dec_2023,jan_2024,jan_to_dec_ratio_2023,dec_2024,jan_2025,jan_to_dec_ratio_2024
743692,15636867.946,1723081.453,2028089.92,1.1770133770919302,842578.9600000002,6342123.68,7.527037798332869
NY5011,13075041.76,3244062.611000001,400828.1060000001,0.12355745066105321,3038723.1299999985,1705287.169,0.5611854374504994
VA0209,9167302.886000002,8941940.636000002,6176.6,0.0006907449122546377,8815.689999999999,3884.09,0.44058831469799875
FL0343,8587155.591999998,3843827.46,718823.77,0.18700729350635317,812338.7200000001,49532.59,0.06097529119380151
AQ9425,6940696.300000001,681250.84,980909.2499999999,1.4398650135976345,1353451.6500000001,537246.6,0.39694554290136624
FL2221,6366439.040000001,4160.24,1721.15,0.4137141126473473,3613.0200000000004,1882.1100000000001,0.5209243236959662
FL0091,4422337.74,0.0,2161158.37,,8434.26,1104.01,0.1308958936527923
IL5043,4208405.65,404444.96,25296.059999999998,0.06254512356885346,2550808.29,-400000.0,-0.15681303905437755
CO5012,3476762.8989999993,242986.77899999995,484152.20999999996,1.9925043329209284,0.0,0.0,
613680,3326484.188,3692.51,8815.119999999999,2.387297529322872,11277.03,2336800.79,207.2177505956799
KY0074,2678838.28,129741.41,6435.049999999998,0.049599044746006675,2525375.03,1670.57,0.0006615136287302248
TX2246,2562173.17,596769.1299999999,382808.43,0.6414682173657341,547353.42,137793.96,0.2517458646736874
IL2017,2051412.2100000002,1307.73,3422.5200000000004,2.617145741093345,52565.99,1878584.12,35.73763416231674
819573,1715662.3700000003,0.0,1711320.4400000002,,0.0,387.6,
AY5919,1703389.6999999997,192.0,22874.620000000003,119.13864583333334,32642.17,1569407.8199999996,48.079150987817286
MI2035,1526054.0400000003,1209566.2300000002,307851.98000000004,0.2545143642113752,0.0,0.0,
VA0019,1427671.6400000001,5641.1,5374.350000000001,0.9527131233270109,69861.02000000002,1051284.7600000002,15.048230901867736
MD0002,1035881.8800000001,-20640.26,-303.4000000000001,0.014699427235897228,341.92,-830.7,-2.429515676181563
WV0541,937293.58,889417.85,2189.7,0.002461947441239233,5947.99,3851.0700000000006,0.6474573763573914
744758,927735.4699999999,2691.79,14761.149999999996,5.4837673072565085,672.95,2187.07,3.249973995096218
840222,849803.3200000001,9783.75,150.6,0.015392870831736297,20051.78,319.28,0.01592277593310918
DE2012,754137.28,0.0,0.0,,748867.97,219.0,0.0002924414032556367
OK0138,715700.89,1130.4,10448.3,9.243011323425335,1961.58,12985.9,6.620122554267478
KY2004,691560.7299999999,688893.7899999999,0.0,0.0,446.94,849.88,1.901552781133933
743634,681564.4099999999,0.0,106018.0,,202358.13999999998,226292.75,1.1182784641131809
643087,536043.63,42707.6,33821.17999999999,0.7919241540147419,1240.0,452734.19,365.1082177419355
MD0151,476054.47000000003,1535.5500000000002,3292.5199999999995,2.1441958907231933,414976.31,1029.27,0.0024803102615664975
OR2026,474339.27999999997,117625.43,115471.24,0.9816860180659914,1243.2,0.0,0.0
AF6284,447010.35000000003,370000.0,0.0,0.0,51010.74,24760.84,0.4854044462009373
788019,402219.16000000003,0.0,0.0,,111945.37000000004,0.0,0.0
TX0294,384516.36199999996,-31202.5,302.6,-0.009697940870122587,172.0,0.0,0.0
IA2025,342659.5900000001,7218.460000000001,2460.96,0.3409259038631508,893.94,1012.0,1.1320670291070989
FL0085,332272.96,4379.57,1889.1,0.43134371639224856,2581.9799999999996,123414.51,47.798398903167346
712579,319333.65,11708.490000000002,2370.5,0.2024599243796595,19294.280000000002,0.0,0.0
CA3550,287758.94,7704.02,0.0,0.0,1970.28,266392.64,135.20547333373938
AP5027,261647.13,71502.45,2812.4000000000005,0.03933291796295093,598.3199999999999,14658.86,24.500033426928738
PA0023,259565.31300000002,18646.68,24815.949999999997,1.3308508538785455,19191.289999999997,87231.577,4.545373291738076
743700,220169.79,43543.409999999996,44738.72,1.02745099660316,17247.120000000003,13286.050000000001,0.7703344094550278
TX0651,214411.2,994.0,0.0,0.0,0.0,212597.2,
AW6643,191901.66999999998,0.0,170.24,,47339.16,49222.86,1.0397915805857139
MD2213,169671.92999999993,2834.45,2012.0499999999997,0.7098555275273862,157987.46999999994,2058.18,0.013027488825537876
NC1372,167932.37000000002,1588.0,12344.18,7.773413098236776,119365.05,1825.7,0.015295096847862922
TX0155,166469.91000000003,15072.62,22790.79,1.5120655864740171,27910.54,17560.42,0.6291680490596024
686334,150152.95000000004,6451.509999999998,685.25,0.106215444136334,2787.04,11899.539999999999,4.269597852919226
718653,146839.873,27756.392,15835.229000000001,0.5705074708557222,18974.837,21981.573999999997,1.1584591741156984
NY2331,140279.81,30567.559999999998,14960.670000000002,0.48942964371379344,14639.66,6396.970000000001,0.4369616507487197
MI2002,138225.61000000002,1084.69,0.0,0.0,3838.2,34405.1,8.96386326924079
706844,137243.09300000002,8519.85,8022.219999999999,0.9415916946894604,6404.902999999999,4961.249,0.7746017386992434
PA5036,125505.97999999998,20311.34,15615.029999999999,0.7687838419326346,10769.93,12857.21,1.1938062735783797
737637,120979.55,9198.84,3603.24,0.39170591074526784,16985.41,5488.780000000001,0.32314674770876894
714757,104910.7,0.0,11825.63,,11021.259999999998,11371.0,1.03173321380677
AT4556,98093.31,1049.16,1227.4,1.1698882915856494,133.35,1151.8,8.637420322459693
VA0208,98093.31,1049.16,1227.4,1.1698882915856494,133.35,1151.8,8.637420322459693
MN2013,91472.25999999998,18743.379999999997,14589.259999999998,0.7783686827029064,11986.65,6493.150000000001,0.5416984728844173
MD0094,82860.24,20300.97,24343.86,1.1991476269360528,0.0,0.0,
650914,78146.92000000001,2903.92,3848.1999999999994,1.3251742472244412,11409.259999999998,17795.340000000004,1.5597278000501353
AI7376,77497.86,0.0,0.0,,77462.24,0.0,0.0
CA2043,76459.74999999999,9131.69,7871.66,0.8620156838438449,-39922.11000000001,21432.889999999996,-0.5368676655617649
AI6913,71670.335,1851.2780000000002,1623.3180000000002,0.8768634424435444,13612.875999999998,424.15999999999985,0.03115873530325259
649419,68351.72,1170.44,12518.57,10.695610197874302,8070.43,18912.75,2.3434624920853038
710636,65164.0,10438.6,7116.48,0.6817465943708926,1736.8,5611.15,3.230740442192538
655027,60920.51,0.0,0.0,,0.0,60920.51,
758738,58013.4,0.0,0.0,,0.0,47586.9,
LA0886,53002.170000000006,5834.16,15857.6,2.7180605262797046,0.0,999.5499999999998,
715387,49381.74,0.0,0.0,,49381.74,0.0,0.0
OH2004,47121.29,352.44,0.0,0.0,0.0,22920.5,
GA2038,45515.34,21724.39,5535.84,0.25482142421490317,4035.12,100.0,0.024782410436368682
MD0231,45275.939999999995,260.76,0.0,0.0,1750.0,1074.42,0.6139542857142858
SD2017,45163.18900000007,9127.009999999998,-12.6700000000002,-0.0013881873691384368,-23088.971,-163090.9,7.063584600630318
AZ2090,44245.07,8717.48,10962.81,1.2575664068056365,5432.02,2370.38,0.43637173648108807
FL0234,35994.0,520.0,0.0,0.0,520.0,-1103.6,-2.1223076923076922
CA0053,32023.349999999995,11153.219999999998,0.0,0.0,0.0,0.0,
PA1152,31427.58,2500.44,3289.22,1.3154564796595798,14417.12,1138.6399999999999,0.07897832576825328
MD0056,31388.489999999998,243.2,536.78,2.207154605263158,5374.45,10421.71,1.9391212124031296
NC9016,31281.48,0.0,6925.25,,212.47,23389.66,110.08452958064667
