report_category,manufacturer_normalized,manufacturer_name_raw,manufacturer_catalog_number,Product_Description,contract_category,total_observed_spend,transaction_count
Monitoring,OTHER,3M COMPANY,PF230W9B,FILTER MONITOR PRIVACY 23IN X 20.06IN X 11.31IN 23IN DISPLAY 16:9 RATIO NON-GLARE FRAMELESS BLACK F/WIDESCREEN EA,PHYSIOLOGICAL MONITORING SYSTEMS,6868.140000000001,37
Monitoring,OTHER,3M COMPANY,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,1655.48,2
Monitoring,OTHER,ABBOTT LABORATORIES INC.,C12618,CABLE MONITOR F/MACLAB MARQUETTE TRAM EA,PHYSIOLOGICAL MONITORING SYSTEMS,10150.0,16
Monitoring,OTHER,ABBOTT LABORATORIES INC.,C12601,CABLE MONITOR ADAPTER 10-PIN F/SIEMENS/DRAEGER EA,PHYSIOLOGICAL MONITORING SYSTEMS,1400.0,2
Monitoring,OTHER,ABBOTT LABORATORIES INC.,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,1463.42,1
Monitoring,OTHER,ACTIGRAPH,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,9122.67,21
Monitoring,OTHER,"ADVANTAGE MEDICAL ELECTRONICS, INC.",CB-9092-300,CABLE ADAPTER TEMPERATURE 12INL W/2 PIN DIN,PHYSIOLOGICAL MONITORING SYSTEMS,20716.6,8
Monitoring,OTHER,"AIRGAS USA, LLC",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,155.0,1
Monitoring,OTHER,"AIRSTRIP TECHNOLOGIES, INC.",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,89100.0,1
Monitoring,OTHER,ALPHA SOURCE INC,186-0208,BATTERY LITHIUM 7.2V 2.6AH EA,PHYSIOLOGICAL MONITORING SYSTEMS,1699.69,4
Monitoring,OTHER,ALPHA SOURCE INC,401082,ASSEMBLY MONITOR FRONT BEZEL WINDOW F/SPOT VS LXI EA,PHYSIOLOGICAL MONITORING SYSTEMS,390.0,1
Monitoring,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9005BPSTO,UNIT BLOOD PRESSURE ADVIEW 2-MODULAR DIAGNOSTIC STATION BP SPO2 TEMP F/BLOOD PRESSURE,PHYSIOLOGICAL MONITORING SYSTEMS,37043.51,3
Monitoring,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9005SPC,SENSOR PULSE OXIMETER 8FT CABLE PEDIATRIC SPO2 REUSABLE F/ADVIEW 2 EA,PHYSIOLOGICAL MONITORING SYSTEMS,1672.0,1
Monitoring,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9005TO,MODULE TEMPERATURE W/ORAL/AXILLARY PROBE F/ADVIEW 2 EA,PHYSIOLOGICAL MONITORING SYSTEMS,794.0,1
Monitoring,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9005BP,UNIT VITAL SIGN ADVIEW 2 NIBP DIGITAL-DISPLAY DIAGNOSTIC STATION BASE W/NYLON CUFF EA,PHYSIOLOGICAL MONITORING SYSTEMS,2861.41,4
Monitoring,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9000TOP,PROBE THERMOMETER ORAL/AXILLARY ADVIE,PHYSIOLOGICAL MONITORING SYSTEMS,329.02,2
Monitoring,OTHER,AMERICAN DIAGNOSTIC CORPORATION,9006M,STAND VITAL SIGN MONITOR 5-LEGGED MOUNT MOBILE W/CUFF/ACCESSORY BASKET F/ADVIEW 2 MOUNTING PLATFORM,PHYSIOLOGICAL MONITORING SYSTEMS,24236.449999999997,18
Monitoring,OTHER,AMICO CORPORATION,DS-UR1-CHFL-DXX,STATION DIAGNOSTIC W/MOBILE STAND,PHYSIOLOGICAL MONITORING SYSTEMS,11316.694,6
Monitoring,OTHER,"ANESTHESIA EQUIPMENT SUPPLY, INC.",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,16115.5,2
Monitoring,OTHER,"ASD SPECIALTY HEALTHCARE, LLC DBA BESSE MEDICAL",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,209.68,1
Monitoring,OTHER,"ASPECT MEDICAL SYSTEMS, INC.",186-0201-AMS,KIT CABLE MONITOR REPLACEMENT HOST F/BIS VISTA 1/KT,PHYSIOLOGICAL MONITORING SYSTEMS,1065.18,3
Monitoring,OTHER,ATCOR MEDICAL,M23-A00-E4C-T3C-R00,SYSTEM IMAGING VASCULAR PWA/PWV BLOOD PRESSURE,PHYSIOLOGICAL MONITORING SYSTEMS,22300.0,1
Monitoring,OTHER,ATRIUM MEDICAL CORPORATION,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,366.08,1
Monitoring,OTHER,"AVANTE HEALTH SOLUTIONS, LLC",NXMQ4527,CABLE MONITOR EXTENSION UNIVERSAL SPO2 9-PIN REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,2095.0,6
Monitoring,OTHER,"AVANTE HEALTH SOLUTIONS, LLC",UTGE2000,TRANSMITTER TELEMETRY 3.00LB GE APEX PRO CHANNEL,PHYSIOLOGICAL MONITORING SYSTEMS,7960.0,1
Monitoring,OTHER,"AVANTE HEALTH SOLUTIONS, LLC",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,17804.0,6
Monitoring,OTHER,"AVANTE HEALTH SOLUTIONS, LLC",NQPH9999,STAND MONITOR INTELLIVUE HEIGHT ADJUSTABLE ARM EQUIPMENT,PHYSIOLOGICAL MONITORING SYSTEMS,4910.0,7
Monitoring,OTHER,"AVANTE HEALTH SOLUTIONS, LLC",NBFFPM12,FITTING BLOOD PRESSURE HOSE NIBP TUBE REUSABLE F/PM12 BLOOD PRESSURE MONITOR EA,PHYSIOLOGICAL MONITORING SYSTEMS,125.04000000000002,8
Monitoring,OTHER,"AVANTE HEALTH SOLUTIONS, LLC",NBFFPM15,FITTING BLOOD PRESSURE NIBP TUBE REUSABLE F/PM15 BLOOD PRESSURE MONITOR EA,PHYSIOLOGICAL MONITORING SYSTEMS,647.0,9
Monitoring,OTHER,BAXTER HEALTHCARE CORPORATION,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,5924.6,2
Monitoring,OTHER,BAYER HEALTHCARE LLC,3010466,CUFF BLOOD PRESSURE 25-35CM ADULT,PHYSIOLOGICAL MONITORING SYSTEMS,187.5,1
Monitoring,OTHER,"BC GROUP INTERNATIONAL, INC.",PS-2240,STIMULATOR MONITOR W/4-BLOOD PRESSURE OUTPUT 9V BATTERY F/ECG,PHYSIOLOGICAL MONITORING SYSTEMS,5602.25,2
Monitoring,OTHER,"BECTON, DICKINSON AND COMPANY",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,61660.0,1
Monitoring,OTHER,"BIOTRONIK, INC.",435292,MONITOR VITAL SIGN REMOTE ASSISTANT BIOMONITOR III,PHYSIOLOGICAL MONITORING SYSTEMS,0.019,19
Monitoring,OTHER,"BIOTRONIK, INC.",399729,KIT TRANSMITTER PACEMAKER CARDIOMESSENGER II-S F/HOME MONITORING EA,PHYSIOLOGICAL MONITORING SYSTEMS,13000.0,26
Monitoring,OTHER,BOSTON SCIENTIFIC CORPORATION,3320,COVER PROBE PROGRAMMER STERILE F/NEUROSTIMULATOR TELEMETRY WAND EA,PHYSIOLOGICAL MONITORING SYSTEMS,261.0,10
Monitoring,OTHER,"BSN MEDICAL, INC.",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,395.4,1
Monitoring,OTHER,BV MEDICAL,UA-767PSAC,MONITOR BLOOD PRESSURE LIFESOURCE ADVANCED PREMIUM PRO 5.6IN X 2.5IN X 4.3IN 6.3-9.4IN PEDIATRIC ADULT AUTO LCD CLOCK DISPLAY 90-RM 1-BUTTON GRAY ARM 10.6OZ W/SMALL NYLON CUFF AA 4-BATTERY AC ADAPTER ,PHYSIOLOGICAL MONITORING SYSTEMS,174.34,1
Monitoring,OTHER,BV MEDICAL,UA-705V,MONITOR BLOOD PRESSURE LIFESOURCE ADVANCED 3.2IN X 2.2IN X 4.2IN 9.4-14.2IN ADULT LCD DIGITAL DISPLAY MANUAL INFLATION 30-RM MEMORY STORAGE 1-BUTTON PRESSURE PULSE BLUE ARM 0.27LB W/MEDIUM NYLON CUFF ,PHYSIOLOGICAL MONITORING SYSTEMS,38.51,1
Monitoring,OTHER,"CABLES AND SENSORS, LLC",10223,CABLE ADAPTER 110CM SPO2 W/TPU JACKET,PHYSIOLOGICAL MONITORING SYSTEMS,10799.61,11
Monitoring,OTHER,"CABLES AND SENSORS, LLC",E708-690,CABLE ADAPTER PULSE OXIMETER 220CM SPO2,PHYSIOLOGICAL MONITORING SYSTEMS,213.49,4
Monitoring,OTHER,"CABLES AND SENSORS, LLC",DHP-D-20-N0,PROBE TEMPERATURE GRAY 4MM SKIN SENSOR DISPOSABLE,PHYSIOLOGICAL MONITORING SYSTEMS,15956.0,30
Monitoring,OTHER,"CABLES AND SENSORS, LLC",E710-210,CABLE ADAPTER PULSE OXIMETER SPO2 NON STERILE,PHYSIOLOGICAL MONITORING SYSTEMS,717.66,6
Monitoring,OTHER,"CABLES AND SENSORS, LLC",G0-020,SENSOR OXYGEN NON STERILE LATEX FREE,PHYSIOLOGICAL MONITORING SYSTEMS,2278.4400000000005,7
Monitoring,OTHER,"CABLES AND SENSORS, LLC",E708M-48R0,CABLE MONITOR ADAPTER SPO2 GRAY 4MM TPU JACKET,PHYSIOLOGICAL MONITORING SYSTEMS,11300.97,25
Monitoring,OTHER,"CABLES AND SENSORS, LLC",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,36364.02,69
Monitoring,OTHER,"CABLES AND SENSORS, LLC",D3510-D-200,PROBE TEMPERATURE MONITOR 2.5FTL W/SKIN SENSOR,PHYSIOLOGICAL MONITORING SYSTEMS,198.0,1
Monitoring,OTHER,"CABLES AND SENSORS, LLC",DS100A,CLIP SENSOR PULSE OXIMETER SPO2 NON STERILE,PHYSIOLOGICAL MONITORING SYSTEMS,6389.24,17
Monitoring,OTHER,"CABLES AND SENSORS, LLC",10951,BATTERIE LITHIUM 7.2V 2.0AH LI-ION F/MEDICAL,PHYSIOLOGICAL MONITORING SYSTEMS,3960.0,3
Monitoring,OTHER,"CABLES AND SENSORS, LLC",E710-700,CABLE ADAPTER PULSE OXIMETER 300CM SPO2 NON STERILE,PHYSIOLOGICAL MONITORING SYSTEMS,49264.135999999984,154
Monitoring,OTHER,"CABLES AND SENSORS, LLC",S403-010,SENSOR PULSE OXIMETER SHORT ADULT CLIP SPO2 W/OEM,PHYSIOLOGICAL MONITORING SYSTEMS,6796.800000000001,15
Monitoring,OTHER,"CABLES AND SENSORS, LLC",S543-01P0,SENSOR SPO2 DISP NEONATE BX/24,PHYSIOLOGICAL MONITORING SYSTEMS,1656.63,3
Monitoring,OTHER,CADEX ELECTRONICS INC.,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,2531.0,2
Monitoring,OTHER,"CAMBRIDGE HEART, INC.",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,445.0,1
Monitoring,OTHER,CAPSA SOLUTIONS LLC DBA CAPSA HEALTHCARE,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,1000.0,1
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFB,CABLE MONITOR DEVICE SERIAL F/DASH 2500 SYSTEM,PHYSIOLOGICAL MONITORING SYSTEMS,18946.0,24
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFD,DONGLE MONITOR,PHYSIOLOGICAL MONITORING SYSTEMS,25101.15,53
Monitoring,OTHER,"CAPSULE TECH, INC.",SL-VP-DUBAT-KIT,DOCK DUAL BATTERY VITALS PLUS,PHYSIOLOGICAL MONITORING SYSTEMS,5371.599999999999,8
Monitoring,OTHER,"CAPSULE TECH, INC.",SL-NU3-DUBAT-KIT,KIT BATTERY DUAL DOCK PATIENT MONITORING SYSTEM,PHYSIOLOGICAL MONITORING SYSTEMS,67600.0,9
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFU,CABLE MONITOR DEVICE SERIAL F/AESPIRE VIEW CARESTATION AISYS CS2 AVANCE,PHYSIOLOGICAL MONITORING SYSTEMS,33035.850000000006,62
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CAB,CABLE MONITOR DEVICE SERIAL,PHYSIOLOGICAL MONITORING SYSTEMS,7168.5,11
Monitoring,OTHER,"CAPSULE TECH, INC.",DC-NU2-PS,POWER SUPPLY BED 100-240VAC 20V MOBILE CLINICAL,PHYSIOLOGICAL MONITORING SYSTEMS,7562.02,14
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CPAT-DIM-5,CABLE MONITOR PATCH 5FT F/DATACAPTOR DIM,PHYSIOLOGICAL MONITORING SYSTEMS,8501.9,18
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFY,CABLE MONITOR EXTENSION DEVICE SERIAL F/MP5,PHYSIOLOGICAL MONITORING SYSTEMS,11038.2,19
Monitoring,OTHER,"CAPSULE TECH, INC.",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,249.88,2
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFA,CABLE MONITOR DEVICE SERIAL F/CARESCAPE R860/ENGSTROM,PHYSIOLOGICAL MONITORING SYSTEMS,42212.719999999994,41
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFK,CABLE MONITOR FULLY SHIELDED W/THUMBSCREW PVC HOOD PVC,PHYSIOLOGICAL MONITORING SYSTEMS,3727.0,4
Monitoring,OTHER,"CAPSULE TECH, INC.",CS-WA-SSM2-RS-CLMP,EXTENDER MONITOR 22.9IN X 4.5IN X 11.3IN ROLL STAND MOUNT,PHYSIOLOGICAL MONITORING SYSTEMS,6450.0,3
Monitoring,OTHER,"CAPSULE TECH, INC.",SPEC761249,CABLE MONITOR SERIAL Y SHAPED,PHYSIOLOGICAL MONITORING SYSTEMS,3630.0,1
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFW,CABLE MONITOR INTERFACE DEVICE SERIAL F/PHILIPS,PHYSIOLOGICAL MONITORING SYSTEMS,29023.16,54
Monitoring,OTHER,"CAPSULE TECH, INC.",SL-NU3-PRXKT-HID,KIT BATTERY DUAL DOCK HID PROX PATIENT MONITORING SYSTEM,PHYSIOLOGICAL MONITORING SYSTEMS,26452.25,42
Monitoring,OTHER,"CAPSULE TECH, INC.",SL-VP-BPAP-HW,MODULE MONITOR SMARTLINX VITALS PLUS PATIENT F/INTERFACING NON-INVASIVE BLOOD PRESSURE AMPLIFIER,PHYSIOLOGICAL MONITORING SYSTEMS,2839.2,2
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CPAT-DIM-14,CABLE MONITOR PATCH 14FT F/DATACAPTOR DIM,PHYSIOLOGICAL MONITORING SYSTEMS,14819.2,80
Monitoring,OTHER,"CAPSULE TECH, INC.",SL-DIM-HW,MODULE MONITOR DEVICE IDENTIFICATION F/SMARTLINX DIM,PHYSIOLOGICAL MONITORING SYSTEMS,267535.19,216
Monitoring,OTHER,"CAPSULE TECH, INC.",B1-CFC,CABLE MONITOR DEVICE SERIAL F/PHILIPS V60,PHYSIOLOGICAL MONITORING SYSTEMS,16577.0,9
Monitoring,OTHER,"CARDINAL HEALTH 414, LLC",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,15638.89,6
Monitoring,OTHER,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,500.59,2
Monitoring,OTHER,CARDIODYNAMICS,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,29800.0,1
Monitoring,OTHER,CAREFUSION 303 FKA CARDINAL HS/ALARIS/PYXIS,4206C,CABLE VITAL SIGNS MONITOR 6FT,PHYSIOLOGICAL MONITORING SYSTEMS,388.14,1
Monitoring,OTHER,"CARETAKER MEDICAL, LLC",VS-FM-KIT,MONITOR VITAL SIGNS CONTINUOUS CARE VITALSTREAM,PHYSIOLOGICAL MONITORING SYSTEMS,6895.0,1
Monitoring,OTHER,CHANGE HEALTHCARE LLC,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,126.0,2
Monitoring,OTHER,"CLARK INDUSTRIES, INC.",0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,1620.0,5
Monitoring,OTHER,"COMPASS CRYOGENICS, INC.",F-50,BADGE VAPOR MONITOR F/FORMALDEHYDE INDOOR AIR QUALITY,PHYSIOLOGICAL MONITORING SYSTEMS,3810.0,20
Monitoring,OTHER,CONMED CORPORATION,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,744.0,2
Monitoring,OTHER,COVIDIEN SALES LLC,PM1000N,SYSTEM MONITORING NELLCOR 6.5IN X 10IN X 5IN SPO2 W/PULSE/RESPIRATION RATE F/BEDSIDE PATIENT 1/BX,PHYSIOLOGICAL MONITORING SYSTEMS,46215.0,4
Monitoring,OTHER,COVIDIEN SALES LLC,SPGR101312,ASSEMBLY PULSE OXIMETER COMPLETE REAR ENCLOSURE,PHYSIOLOGICAL MONITORING SYSTEMS,1970.08,4
Monitoring,OTHER,COVIDIEN SALES LLC,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,10256.4,1
Monitoring,OTHER,COVIDIEN SALES LLC,SPGR101323,DOOR BATTERY REPLACEMENT ACCESS EA,PHYSIOLOGICAL MONITORING SYSTEMS,1034.7,5
Monitoring,OTHER,COVITA,0,UNKNOWN,PHYSIOLOGICAL MONITORING SYSTEMS,20195.03,76
Monitoring,OTHER,"CURBELL MEDICAL PRODUCTS, INC.",6144,TETHER EKG CABLE 6IN STAINLESS STEEL PLASTIC W/1-KEY F/CORD MANAGEMENT 12/PK,PHYSIOLOGICAL MONITORING SYSTEMS,156810.12,160
