scenario,annual_net_cost_A,annual_net_cost_B,total_net_cost_A,total_net_cost_B
appreciation_0pct,26936.31,27974.29,107745.26,111897.15
appreciation_2pct,21474.35,22512.32,85897.38,90049.28
appreciation_4pct,17384.08,18422.06,69536.33,73688.22
appreciation_6pct,13128.13,14166.11,52512.53,56664.43
mortgage_rate_5.5pct,16290.46,17200.66,65161.85,68802.64
mortgage_rate_6.5pct,17749.53,18830.2,70998.13,75320.82
mortgage_rate_7.5pct,19214.96,20466.85,76859.82,81867.38
sell_friction_6pct,16806.05,17844.03,67224.21,71376.11
sell_friction_7pct,17384.08,18422.06,69536.33,73688.22
sell_friction_8pct,17962.11,19000.08,71848.44,76000.34
buyer_closing_1pct,16780.79,17818.77,67123.17,71275.07
buyer_closing_2pct,17384.08,18422.06,69536.33,73688.22
buyer_closing_4pct,18590.66,19628.63,74362.63,78514.53
assessment_stress_5000_y2,18634.08,19672.06,74536.33,78688.22
furnishings_salvage_25pct,16759.08,17797.06,67036.33,71188.22
maintenance_2000,19384.08,20422.06,77536.33,81688.22
fed_capgains_15pct,17322.12,18360.1,69288.49,73440.39
fed_capgains_18_8pct,17348.88,18386.85,69395.51,73547.41
fed_capgains_23_8pct,17384.08,18422.06,69536.33,73688.22
portfolio_return_4.5pct,16412.61,17450.58,65650.42,69802.32
portfolio_return_6.0pct,17384.08,18422.06,69536.33,73688.22
portfolio_return_7.5pct,18397.89,19435.87,73591.56,77743.46
