scenario,annual_net_cost_A,annual_net_cost_B,total_net_cost_A,total_net_cost_B
appreciation_0pct,19132.64,20043.18,76530.56,80172.7
appreciation_2pct,15477.54,16388.08,61910.17,65552.32
appreciation_4pct,11601.0,12511.54,46404.0,50046.14
appreciation_6pct,7494.24,8404.77,29976.96,33619.1
mortgage_rate_5.5pct,10641.65,11440.1,42566.6,45760.39
mortgage_rate_6.5pct,11921.58,12869.57,47686.32,51478.29
mortgage_rate_7.5pct,13207.09,14305.27,52828.34,57221.09
sell_friction_6pct,11043.23,11953.77,44172.93,47815.07
sell_friction_7pct,11601.0,12511.54,46404.0,50046.14
sell_friction_8pct,12158.77,13069.3,48635.06,52277.21
buyer_closing_1pct,11071.78,11982.32,44287.12,47929.27
buyer_closing_2pct,11601.0,12511.54,46404.0,50046.14
buyer_closing_4pct,12659.44,13569.97,50637.75,54279.89
assessment_stress_5000_y2,12851.0,13761.54,51404.0,55046.14
furnishings_salvage_25pct,10976.0,11886.54,43904.0,47546.14
maintenance_2000,13601.0,14511.54,54404.0,58046.14
fed_capgains_15pct,10954.72,11865.25,43818.86,47461.01
fed_capgains_18_8pct,11233.79,12144.33,44935.17,48577.31
fed_capgains_23_8pct,11601.0,12511.54,46404.0,50046.14
portfolio_return_4.5pct,10734.12,11644.65,42936.47,46578.61
portfolio_return_6.0pct,11601.0,12511.54,46404.0,50046.14
portfolio_return_7.5pct,12505.66,13416.19,50022.63,53664.77
