scenario,annual_net_cost_A,annual_net_cost_B,total_net_cost_A,total_net_cost_B
appreciation_0pct,21865.93,22841.62,87463.71,91366.5
appreciation_2pct,17654.41,18630.1,70617.63,74520.42
appreciation_4pct,13637.04,14612.74,54548.16,58450.94
appreciation_6pct,9381.09,10356.79,37524.37,41427.15
mortgage_rate_5.5pct,12609.04,13464.62,50436.15,53858.5
mortgage_rate_6.5pct,13980.56,14996.4,55922.25,59985.58
mortgage_rate_7.5pct,15358.06,16534.84,61432.25,66139.35
sell_friction_6pct,13059.01,14034.71,52236.04,56138.83
sell_friction_7pct,13637.04,14612.74,54548.16,58450.94
sell_friction_8pct,14215.07,15190.76,56860.28,60763.06
buyer_closing_1pct,13069.95,14045.64,52279.8,56182.58
buyer_closing_2pct,13637.04,14612.74,54548.16,58450.94
buyer_closing_4pct,14771.22,15746.92,59084.89,62987.67
assessment_stress_5000_y2,14887.04,15862.74,59548.16,63450.94
furnishings_salvage_25pct,13012.04,13987.74,52048.16,55950.94
maintenance_2000,15637.04,16612.74,62548.16,66450.94
fed_capgains_15pct,13172.67,14148.37,52690.69,56593.47
fed_capgains_18_8pct,13373.19,14348.89,53492.78,57395.56
fed_capgains_23_8pct,13637.04,14612.74,54548.16,58450.94
portfolio_return_4.5pct,12716.68,13692.37,50866.71,54769.5
portfolio_return_6.0pct,13637.04,14612.74,54548.16,58450.94
portfolio_return_7.5pct,14597.51,15573.2,58390.03,62292.81
