scenario_key,down_pct,fill_rate,appreciation,furnish,is_empty,days_in_year,owner_days,occupied_days,gross_rent,fixed_costs,variable_costs,total_operating_outflow,net_cash_flow_annual,operating_pnl_annual,sale_price,adjusted_basis,gain_realized,suspended_pal,net_proceeds_after_tax,avg_annual_economic_cost,rent_equivalent_val,economic_premium,incremental_benefit_cash
0.2_0.6_0.01_8000.0,0.2,0.6,0.01,8000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,229478.5591636253,151779.3804315708,7553.85726653032,8334.0,-780.14273346968,7843.6331360946715
0.2_0.6_0.01_8000.0,0.2,0.6,0.01,8000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,229478.5591636253,151779.3804315708,7553.85726653032,8334.0,-780.14273346968,7843.6331360946715
0.2_0.6_0.01_8000.0,0.2,0.6,0.01,8000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,229478.5591636253,151779.3804315708,7553.85726653032,12501.0,-4947.14273346968,7843.6331360946715
0.2_0.6_0.01_16000.0,0.2,0.6,0.01,16000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,237478.55916362526,154259.3804315708,7599.571552244605,8334.0,-734.4284477553947,7843.6331360946715
0.2_0.6_0.01_16000.0,0.2,0.6,0.01,16000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,237478.55916362526,154259.3804315708,7599.571552244605,8334.0,-734.4284477553947,7843.6331360946715
0.2_0.6_0.01_16000.0,0.2,0.6,0.01,16000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,237478.55916362526,154259.3804315708,7599.571552244605,12501.0,-4901.428447755395,7843.6331360946715
0.2_0.6_0.01_30000.0,0.2,0.6,0.01,30000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,251478.55916362526,158599.3804315708,7679.571552244605,8334.0,-654.4284477553947,7843.6331360946715
0.2_0.6_0.01_30000.0,0.2,0.6,0.01,30000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,251478.55916362526,158599.3804315708,7679.571552244605,8334.0,-654.4284477553947,7843.6331360946715
0.2_0.6_0.01_30000.0,0.2,0.6,0.01,30000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,380608.04999798856,296102.2727272727,57863.21377085667,251478.55916362526,158599.3804315708,7679.571552244605,12501.0,-4821.428447755395,7843.6331360946715
0.2_0.6_0.03_8000.0,0.2,0.6,0.03,8000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,229478.5591636253,192545.8008939905,1730.0829147560787,8334.0,-6603.917085243921,7843.6331360946715
0.2_0.6_0.03_8000.0,0.2,0.6,0.03,8000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,229478.5591636253,192545.8008939905,1730.0829147560787,8334.0,-6603.917085243921,7843.6331360946715
0.2_0.6_0.03_8000.0,0.2,0.6,0.03,8000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,229478.5591636253,192545.8008939905,1730.0829147560787,12501.0,-10770.917085243922,7843.6331360946715
0.2_0.6_0.03_16000.0,0.2,0.6,0.03,16000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,237478.55916362526,194625.8008939905,1832.9400576132216,8334.0,-6501.059942386779,7843.6331360946715
0.2_0.6_0.03_16000.0,0.2,0.6,0.03,16000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,237478.55916362526,194625.8008939905,1832.9400576132216,8334.0,-6501.059942386779,7843.6331360946715
0.2_0.6_0.03_16000.0,0.2,0.6,0.03,16000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,237478.55916362526,194625.8008939905,1832.9400576132216,12501.0,-10668.059942386779,7843.6331360946715
0.2_0.6_0.03_30000.0,0.2,0.6,0.03,30000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,251478.55916362526,198265.8008939905,2012.9400576132216,8334.0,-6321.059942386779,7843.6331360946715
0.2_0.6_0.03_30000.0,0.2,0.6,0.03,30000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,251478.55916362526,198265.8008939905,2012.9400576132216,8334.0,-6321.059942386779,7843.6331360946715
0.2_0.6_0.03_30000.0,0.2,0.6,0.03,30000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,436605.2222258289,296102.2727272727,109940.5839427482,251478.55916362526,198265.8008939905,2012.9400576132216,12501.0,-10488.059942386779,7843.6331360946715
0.2_0.6_0.05_8000.0,0.2,0.6,0.05,8000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,499520.6500429689,296102.2727272727,168451.93181268836,229478.5591636253,239354.87918994264,-4956.928270379942,8334.0,-13290.928270379942,7843.6331360946715
0.2_0.6_0.05_8000.0,0.2,0.6,0.05,8000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,499520.6500429689,296102.2727272727,168451.93181268836,229478.5591636253,239354.87918994264,-4956.928270379942,8334.0,-13290.928270379942,7843.6331360946715
0.2_0.6_0.05_8000.0,0.2,0.6,0.05,8000.0,False,365,42,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,499520.6500429689,296102.2727272727,168451.93181268836,229478.5591636253,239354.87918994264,-4956.928270379942,12501.0,-17457.92827037994,7843.6331360946715
0.2_0.6_0.05_16000.0,0.2,0.6,0.05,16000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,499520.6500429689,296102.2727272727,168451.93181268836,237478.55916362526,241434.8791899426,-4854.071127522795,8334.0,-13188.071127522795,7843.6331360946715
0.2_0.6_0.05_16000.0,0.2,0.6,0.05,16000.0,False,365,28,162.0,14911.242603550294,32686.509035706535,7067.609467455622,39754.11850316216,-24842.875899611863,-21957.975984414,499520.6500429689,296102.2727272727,168451.93181268836,237478.55916362526,241434.8791899426,-4854.071127522795,8334.0,-13188.071127522795,7843.6331360946715
