key,weeks,appreciation,occupancy,furnish,rent_alternative,is_empty,net_cash_flow,avg_annual_econ_cost,econ_premium,net_sale_proceeds,gross_revenue,fixed_costs,variable_costs,tax_recapture,tax_ltcg,tax_saved_pal,sale_price
2_weeks_0.01_0.6_8000.0,2,0.01,0.6,8000.0,5000.0,False,-21039.074825180214,17701.889358744542,12701.889358744542,141991.5482650497,19286.84210526316,31686.509035706535,8639.407894736842,14465.803442714168,0.0,61350.5211742027,380608.04999798856
2_weeks_0.01_0.6_16000.0,2,0.01,0.6,16000.0,5000.0,False,-21039.074825180214,18890.46078731597,13890.46078731597,144471.5482650497,19286.84210526316,31686.509035706535,8639.407894736842,14465.803442714168,0.0,63830.5211742027,380608.04999798856
2_weeks_0.01_0.6_30000.0,2,0.01,0.6,30000.0,5000.0,False,-21039.074825180214,20970.46078731597,15970.46078731597,148811.5482650497,19286.84210526316,31686.509035706535,8639.407894736842,14465.803442714168,0.0,68170.5211742027,380608.04999798856
2_weeks_0.03_0.6_8000.0,2,0.03,0.6,8000.0,5000.0,False,-21039.074825180214,11878.1150069703,6878.1150069703,182757.9687274694,19286.84210526316,31686.509035706535,8639.407894736842,18943.18181818182,6833.571334004184,61350.5211742027,436605.2222258289
2_weeks_0.03_0.6_16000.0,2,0.03,0.6,16000.0,5000.0,False,-21039.074825180214,13123.829292684586,8123.829292684586,184837.9687274694,19286.84210526316,31686.509035706535,8639.407894736842,20943.18181818182,5233.571334004184,63830.5211742027,436605.2222258289
2_weeks_0.03_0.6_30000.0,2,0.03,0.6,30000.0,5000.0,False,-21039.074825180214,15303.829292684586,10303.829292684586,188477.9687274694,19286.84210526316,31686.509035706535,8639.407894736842,24443.18181818182,2433.571334004184,68170.5211742027,436605.2222258289
2_weeks_0.05_0.6_8000.0,2,0.05,0.6,8000.0,5000.0,False,-21039.074825180214,5191.103821834283,191.10382183428283,229567.0470234215,19286.84210526316,31686.509035706535,8639.407894736842,18943.18181818182,18535.840907992217,61350.5211742027,499520.6500429689
2_weeks_0.05_0.6_16000.0,2,0.05,0.6,16000.0,5000.0,False,-21039.074825180214,6436.818107548569,1436.818107548569,231647.0470234215,19286.84210526316,31686.509035706535,8639.407894736842,20943.18181818182,16935.840907992217,63830.5211742027,499520.6500429689
2_weeks_0.05_0.6_30000.0,2,0.05,0.6,30000.0,5000.0,False,-21039.074825180214,8616.818107548568,3616.818107548568,235287.0470234215,19286.84210526316,31686.509035706535,8639.407894736842,24443.18181818182,14135.840907992217,68170.5211742027,499520.6500429689
2_weeks_0.01_0.7_8000.0,2,0.01,0.7,8000.0,5000.0,False,-18754.502456759164,16125.534424534022,11125.534424534022,137034.026225576,22501.315789473683,31686.509035706535,9569.309210526315,14465.803442714168,0.0,56392.999134729034,380608.04999798856
2_weeks_0.01_0.7_16000.0,2,0.01,0.7,16000.0,5000.0,False,-18754.502456759164,17314.10585310545,12314.105853105451,139514.026225576,22501.315789473683,31686.509035706535,9569.309210526315,14465.803442714168,0.0,58872.999134729034,380608.04999798856
2_weeks_0.01_0.7_30000.0,2,0.01,0.7,30000.0,5000.0,False,-18754.502456759164,19394.10585310545,14394.105853105451,143854.026225576,22501.315789473683,31686.509035706535,9569.309210526315,14465.803442714168,0.0,63212.999134729034,380608.04999798856
