blinded_facility_id,source_coverage,combined_spend,combined_units,tae_total_spend,tae_total_units,tae_months,tae_vendors,rb_total_spend,rb_total_units,rb_months,rb_ndcs
FAC_0001,TAE_ONLY,2497317.18,73789.0,2497317.18,73789.0,19.0,3.0,0.0,0.0,,
FAC_0002,TAE_ONLY,1281401.47,30747.0,1281401.47,30747.0,24.0,2.0,0.0,0.0,,
FAC_0003,BOTH,867565.15,37710.0,859360.22,37626.0,24.0,2.0,8204.93,84.0,12.0,10.0
FAC_0004,TAE_ONLY,851058.47,46859.0,851058.47,46859.0,18.0,4.0,0.0,0.0,,
FAC_0005,TAE_ONLY,793765.71,14199.0,793765.71,14199.0,7.0,9.0,0.0,0.0,,
FAC_0006,TAE_ONLY,621267.75,16033.0,621267.75,16033.0,12.0,3.0,0.0,0.0,,
FAC_0007,TAE_ONLY,572393.32,16570.0,572393.32,16570.0,24.0,4.0,0.0,0.0,,
FAC_0008,BOTH,509200.9,15770.0,509148.29000000004,15769.0,24.0,6.0,52.61,1.0,1.0,1.0
FAC_0009,TAE_ONLY,503416.18,18481.0,503416.18,18481.0,24.0,3.0,0.0,0.0,,
FAC_0010,TAE_ONLY,479437.8,16906.0,479437.8,16906.0,24.0,6.0,0.0,0.0,,
FAC_0011,TAE_ONLY,448811.91000000003,128699.0,448811.91000000003,128699.0,24.0,1.0,0.0,0.0,,
FAC_0012,TAE_ONLY,434274.79,31990.0,434274.79,31990.0,23.0,2.0,0.0,0.0,,
FAC_0013,BOTH,383501.01,12365.0,371995.92,12226.0,24.0,9.0,11505.09,139.0,10.0,11.0
FAC_0014,TAE_ONLY,346391.45,9346.0,346391.45,9346.0,24.0,4.0,0.0,0.0,,
FAC_0015,BOTH,344774.48,9733.0,303899.13,9363.0,24.0,2.0,40875.35,370.0,12.0,14.0
FAC_0016,BOTH,330317.22000000003,13670.0,328717.02,13623.0,23.0,3.0,1600.2,47.0,4.0,6.0
FAC_0017,BOTH,320377.64999999997,25651.0,319993.42,25649.0,24.0,7.0,384.23,2.0,2.0,2.0
FAC_0018,BOTH,317436.92,8786.0,310000.74,8702.0,24.0,3.0,7436.18,84.0,16.0,6.0
FAC_0019,TAE_ONLY,306256.15,91671.0,306256.15,91671.0,24.0,6.0,0.0,0.0,,
FAC_0020,TAE_ONLY,289234.04,8166.0,289234.04,8166.0,24.0,4.0,0.0,0.0,,
FAC_0021,BOTH,282653.43,30854.0,278617.97,30842.0,24.0,1.0,4035.46,12.0,4.0,2.0
FAC_0022,BOTH,279753.48,7740.0,277164.82,7702.0,17.0,5.0,2588.66,38.0,17.0,4.0
FAC_0023,BOTH,258791.30000000002,38761.0,258767.51,38760.0,24.0,1.0,23.79,1.0,3.0,3.0
FAC_0024,BOTH,257769.78,12658.0,250081.38,12508.0,17.0,6.0,7688.4,150.0,13.0,17.0
FAC_0025,TAE_ONLY,244017.28,5765.0,244017.28,5765.0,6.0,2.0,0.0,0.0,,
FAC_0026,BOTH,240834.347,28058.0,236310.097,27971.0,24.0,3.0,4524.25,87.0,17.0,14.0
FAC_0027,BOTH,238359.97,5894.0,231207.61000000002,5757.0,14.0,5.0,7152.36,137.0,14.0,7.0
FAC_0028,BOTH,232838.805,6922.0,230184.555,6883.0,15.0,3.0,2654.25,39.0,12.0,16.0
FAC_0029,TAE_ONLY,231171.07,7532.0,231171.07,7532.0,24.0,2.0,0.0,0.0,,
FAC_0030,BOTH,226286.125,64133.0,224817.415,64105.0,24.0,6.0,1468.71,28.0,9.0,5.0
FAC_0031,BOTH,224844.22999999998,6197.0,224276.41999999998,6191.0,24.0,5.0,567.81,6.0,8.0,8.0
FAC_0032,BOTH,222609.262,5370.0,210356.802,5153.0,24.0,2.0,12252.46,217.0,9.0,20.0
FAC_0033,TAE_ONLY,220507.90000000002,7738.0,220507.90000000002,7738.0,24.0,1.0,0.0,0.0,,
FAC_0034,TAE_ONLY,210488.191,4342.0,210488.191,4342.0,24.0,3.0,0.0,0.0,,
FAC_0035,TAE_ONLY,210072.9,50533.0,210072.9,50533.0,24.0,2.0,0.0,0.0,,
FAC_0036,TAE_ONLY,209875.16999999998,29434.0,209875.16999999998,29434.0,24.0,3.0,0.0,0.0,,
FAC_0037,TAE_ONLY,209174.80000000002,4533.0,209174.80000000002,4533.0,23.0,6.0,0.0,0.0,,
FAC_0038,TAE_ONLY,207034.5,6512.0,207034.5,6512.0,23.0,2.0,0.0,0.0,,
FAC_0039,TAE_ONLY,206621.53,7270.0,206621.53,7270.0,9.0,4.0,0.0,0.0,,
FAC_0040,TAE_ONLY,199289.85,7028.0,199289.85,7028.0,19.0,4.0,0.0,0.0,,
FAC_0041,BOTH,195141.193,6596.0,193363.433,6555.0,22.0,4.0,1777.76,41.0,8.0,8.0
FAC_0042,BOTH,190101.40000000002,17038.0,180549.58000000002,16911.0,24.0,6.0,9551.82,127.0,23.0,16.0
FAC_0043,TAE_ONLY,189631.68,6287.0,189631.68,6287.0,18.0,2.0,0.0,0.0,,
FAC_0044,BOTH,189280.72,5634.0,188869.06,5627.0,24.0,5.0,411.65999999999997,7.0,6.0,18.0
FAC_0045,BOTH,185222.22,18258.0,185083.62,18255.0,22.0,4.0,138.60000000000002,3.0,3.0,1.0
FAC_0046,BOTH,184364.36,72100.0,184169.96,72097.0,24.0,4.0,194.4,3.0,2.0,2.0
FAC_0047,TAE_ONLY,181808.04,27087.0,181808.04,27087.0,17.0,5.0,0.0,0.0,,
FAC_0048,BOTH,181520.02,29438.0,176558.55,29377.0,24.0,5.0,4961.47,61.0,19.0,30.0
FAC_0049,BOTH,178801.34,3972.0,177743.55,3945.0,24.0,4.0,1057.79,27.0,10.0,11.0
FAC_0050,TAE_ONLY,178549.13,83494.0,178549.13,83494.0,24.0,2.0,0.0,0.0,,
FAC_0051,BOTH,173159.74000000002,40148.0,169582.29,40071.0,20.0,5.0,3577.45,77.0,14.0,8.0
FAC_0052,BOTH,173142.28,53766.0,167508.49,53702.0,24.0,4.0,5633.79,64.0,16.0,8.0
FAC_0053,BOTH,169521.48,59761.0,168448.92,59757.0,24.0,3.0,1072.56,4.0,3.0,6.0
FAC_0054,BOTH,166973.179,8440.0,164785.829,8416.0,24.0,4.0,2187.35,24.0,9.0,7.0
FAC_0055,TAE_ONLY,165000.72,10502.0,165000.72,10502.0,24.0,2.0,0.0,0.0,,
FAC_0056,BOTH,154432.99000000002,7430.0,153008.43000000002,7396.0,24.0,2.0,1424.56,34.0,9.0,5.0
FAC_0057,BOTH,150915.71000000002,4654.0,150213.76,4640.0,24.0,4.0,701.9499999999999,14.0,11.0,5.0
FAC_0058,BOTH,148386.088,6790.0,147244.348,6773.0,23.0,3.0,1141.74,17.0,12.0,12.0
FAC_0059,BOTH,147161.348,3040.0,146160.268,3031.0,24.0,5.0,1001.0799999999999,9.0,3.0,3.0
FAC_0060,TAE_ONLY,145678.54,4306.0,145678.54,4306.0,24.0,4.0,0.0,0.0,,
FAC_0061,BOTH,144065.48799999998,23066.0,143926.128,23063.0,24.0,3.0,139.36,3.0,4.0,4.0
FAC_0062,BOTH,142828.96999999997,3241.0,140565.86,3217.0,24.0,2.0,2263.11,24.0,9.0,13.0
FAC_0063,TAE_ONLY,142687.892,6246.0,142687.892,6246.0,24.0,3.0,0.0,0.0,1.0,1.0
FAC_0064,BOTH,139876.81999999998,3735.0,137707.52,3703.0,22.0,3.0,2169.3,32.0,14.0,7.0
FAC_0065,BOTH,138440.142,42460.0,137317.952,42432.0,24.0,2.0,1122.19,28.0,3.0,12.0
FAC_0066,BOTH,135760.03,2970.0,112580.07,2889.0,24.0,3.0,23179.96,81.0,22.0,6.0
FAC_0067,BOTH,135212.64500000002,3363.0,134093.915,3348.0,23.0,4.0,1118.73,15.0,14.0,5.0
FAC_0068,TAE_ONLY,134365.24,3652.0,134365.24,3652.0,24.0,5.0,0.0,0.0,,
FAC_0069,TAE_ONLY,133785.21,23514.0,133785.21,23514.0,24.0,2.0,0.0,0.0,,
FAC_0070,BOTH,130804.544,3781.0,128793.614,3757.0,24.0,2.0,2010.93,24.0,7.0,7.0
FAC_0071,BOTH,130330.5,33310.0,127814.44,33259.0,24.0,3.0,2516.06,51.0,16.0,5.0
FAC_0072,BOTH,127892.34000000001,32457.0,107882.93000000001,32159.0,24.0,10.0,20009.41,298.0,24.0,16.0
FAC_0073,BOTH,127786.84999999999,4059.0,125479.15,4017.0,24.0,1.0,2307.7,42.0,19.0,4.0
FAC_0074,TAE_ONLY,124024.0,59647.0,124024.0,59647.0,20.0,1.0,0.0,0.0,,
FAC_0075,BOTH,123377.936,3899.0,116009.626,3795.0,24.0,2.0,7368.31,104.0,16.0,21.0
FAC_0076,BOTH,122246.11,3219.0,122208.37,3218.0,24.0,5.0,37.74,1.0,2.0,2.0
FAC_0077,TAE_ONLY,121026.62999999999,3788.0,121026.62999999999,3788.0,24.0,4.0,0.0,0.0,,
FAC_0078,TAE_ONLY,120716.39000000001,1692.0,120716.39000000001,1692.0,6.0,2.0,0.0,0.0,,
FAC_0079,BOTH,119062.82,15317.0,118828.76000000001,15311.0,24.0,3.0,234.06,6.0,2.0,2.0
FAC_0080,TAE_ONLY,114022.02,3342.0,114022.02,3342.0,23.0,3.0,0.0,0.0,,
FAC_0081,TAE_ONLY,113018.82,3091.0,113018.82,3091.0,23.0,3.0,0.0,0.0,,
FAC_0082,BOTH,112936.449,14163.0,112410.83899999999,14156.0,24.0,4.0,525.61,7.0,6.0,4.0
FAC_0083,BOTH,111726.84999999999,2719.0,111478.95999999999,2715.0,24.0,2.0,247.89,4.0,4.0,2.0
FAC_0084,BOTH,111143.76,3263.0,106484.42,3191.0,24.0,4.0,4659.34,72.0,21.0,16.0
FAC_0085,BOTH,110584.74,2912.0,110187.02,2901.0,24.0,4.0,397.72,11.0,9.0,5.0
FAC_0086,TAE_ONLY,109959.03,3825.0,109959.03,3825.0,24.0,1.0,0.0,0.0,,
FAC_0087,BOTH,109256.20000000001,3098.0,105205.45000000001,3009.0,24.0,2.0,4050.75,89.0,21.0,6.0
FAC_0088,BOTH,109241.32999999999,2863.0,107922.90999999999,2840.0,24.0,5.0,1318.4199999999998,23.0,7.0,7.0
FAC_0089,BOTH,108731.3,4505.0,103784.46,4423.0,24.0,2.0,4946.84,82.0,22.0,34.0
FAC_0090,BOTH,106057.02,2918.0,105093.82,2895.0,4.0,2.0,963.2,23.0,9.0,10.0
FAC_0091,BOTH,105338.06999999999,39045.0,101022.9,38991.0,24.0,2.0,4315.17,54.0,15.0,11.0
FAC_0092,TAE_ONLY,103158.89,3638.0,103158.89,3638.0,24.0,3.0,0.0,0.0,,
FAC_0093,TAE_ONLY,101688.09999999999,3393.0,101688.09999999999,3393.0,24.0,2.0,0.0,0.0,,
FAC_0094,BOTH,99512.91300000002,26489.499,95880.84300000001,26445.499,24.0,3.0,3632.07,44.0,5.0,3.0
FAC_0095,TAE_ONLY,99511.69,50343.0,99511.69,50343.0,24.0,3.0,0.0,0.0,1.0,1.0
FAC_0096,TAE_ONLY,99251.28,3879.0,99251.28,3879.0,8.0,4.0,0.0,0.0,,
FAC_0097,TAE_ONLY,97593.984,19660.0,97593.984,19660.0,16.0,3.0,0.0,0.0,,
FAC_0098,BOTH,97453.282,28111.0,95535.952,28079.0,24.0,5.0,1917.33,32.0,15.0,5.0
FAC_0099,BOTH,97019.0,2701.0,95713.8,2665.0,13.0,1.0,1305.2,36.0,7.0,8.0
FAC_0100,BOTH,95155.98,39556.0,94911.23999999999,39553.0,24.0,1.0,244.74,3.0,2.0,4.0
FAC_0101,BOTH,93516.82,3411.0,92583.83,3398.0,24.0,3.0,932.99,13.0,11.0,5.0
FAC_0102,BOTH,93112.706,3803.0,91125.186,3782.0,22.0,2.0,1987.52,21.0,11.0,3.0
