facility_id,month_year_fmt,ndc,rb_spend,rb_units
AV6441,2024-01,63323066910,44.47,1.0
678063,2024-01,63323062610,154.56,6.0
MN2049,2024-01,65219047220,73.2,1.0
796564,2024-01,63323068610,95.0,2.0
IA2353,2024-01,63323066910,35.4,1.0
MN5050,2024-01,65219047220,240.0,3.0
721169,2024-01,65219047220,555.3599999999999,13.0
641964,2024-01,63323066910,33.29,1.0
655721,2024-01,65219014410,53.22,1.0
727390,2024-01,65219047220,42.34,1.0
834880,2024-01,63323068610,570.0,12.0
AD8201,2024-01,63323087374,-67.2,-2.0
657849,2024-01,65219047030,102.0,1.0
00,2024-01,63323082476,21.79,1.0
AM0992,2024-01,63323086910,43.99,1.0
743695,2024-01,63323066910,36.5,1.0
607358,2024-01,63323082475,66.51,1.0
AT2416,2024-01,65219014410,53.27,1.0
804303,2024-01,65219011810,430.27,5.0
MN2054,2024-01,63323068610,87.16,2.0
WV0050,2024-01,63323068810,56.6,1.0
AC0236,2024-01,65219047030,193.0,2.0
TX0513,2024-01,63323087074,24.93,1.0
TX0110,2024-01,63323066910,36.5,1.0
667640,2024-01,63323053075,70.69,1.0
679622,2024-01,63323068810,51.15,1.0
749156,2024-01,65219047410,45.6,1.0
NY2162,2024-01,63323053075,116.04,3.0
AR2049,2024-01,63323086910,54.28,2.0
641329,2024-01,63323053075,74.4,1.0
690181,2024-01,63323068610,173.84,4.0
650986,2024-01,65219047030,139.28,2.0
CA0038,2024-01,65219023825,682.9200000000001,7.0
AZ2050,2024-01,63323053075,38.23,1.0
AA3298,2024-01,65219047030,349.79999999999995,5.0
AH7879,2024-01,63323068610,36.14,1.0
AB1441,2024-01,65219022450,149.94,2.0
667853,2024-01,65219038910,513.8,4.0
695228,2024-01,63323087074,58.02,2.0
781393,2024-01,63323053075,46.2,1.0
SC2005,2024-01,63323068610,86.52,2.0
PA2196,2024-01,65219038910,641.5699999999999,5.0
612967,2024-01,63323068310,44.65,1.0
743163,2024-01,65219047030,252.66,3.0
AB9955,2024-01,63323066910,38.69,1.0
TX0027,2024-01,63323086910,34.05,1.0
