facility_id,month_year,ndc11,reference_number,tae_spend,vendor_name
605386,2025-11,63323017876,10907278,31.4,"FRESENIUS USA MARKETING, INC. DBA FRESENIUS MEDICAL CARE NORTH AMERICA"
605472,2025-03,65219047410,12395051,127.0,MCKESSON CORPORATION
606448,2025-10,65219047220,12395049,127.0,MCKESSON CORPORATION
606448,2025-11,65219047220,12395049,63.0,MCKESSON CORPORATION
612295,2025-05,65219047220,12395049,117.0,MCKESSON CORPORATION
613009,2024-10,65219047030,420704583,484.8,"FRESENIUS USA MARKETING, INC. DBA FRESENIUS MEDICAL CARE NORTH AMERICA"
613009,2024-10,65219047220,12395049,215.0,"FRESENIUS USA MARKETING, INC. DBA FRESENIUS MEDICAL CARE NORTH AMERICA"
613009,2024-10,65219047410,12395051,260.0,"FRESENIUS USA MARKETING, INC. DBA FRESENIUS MEDICAL CARE NORTH AMERICA"
613009,2024-10,65219047910,420787916,306.0,"FRESENIUS USA MARKETING, INC. DBA FRESENIUS MEDICAL CARE NORTH AMERICA"
613324,2025-04,,421183299,174.8,"FRESENIUS KABI, LLC"
613324,2025-04,65219047720,421079338,116.4,"FRESENIUS KABI, LLC"
613324,2025-05,65219047720,421079338,116.4,"FRESENIUS KABI, LLC"
619684,2024-10,65219047410,12395051,1554.0,"FRESENIUS KABI USA, LLC"
619684,2024-10,65219047910,420787916,226.44,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
619684,2024-12,65219046020,421064701,42.0,"FRESENIUS KABI USA, LLC"
619684,2025-12,65219045830,421064697,63.28,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
622667,2025-03,63323086910,11756373,50.38,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
623178,2024-10,63323082475,11329176,418.0,"FRESENIUS KABI USA, LLC"
623178,2024-10,65219047030,420704583,2628.0,"FRESENIUS KABI USA, LLC"
623178,2024-10,65219047220,12395049,1848.0,"FRESENIUS KABI USA, LLC"
623178,2024-10,65219047410,12395051,1036.0,"FRESENIUS KABI USA, LLC"
623270,2024-11,65219047410,12395051,125.85,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
623270,2025-04,63323086910,11756373,34.43,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
623270,2025-11,65219045830,421064697,63.28,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
623514,2024-11,63323068810,12233543,39.15,AMERISOURCEBERGEN DRUG CORPORATION
623514,2025-01,63323068810,12233543,36.12,AMERISOURCEBERGEN DRUG CORPORATION
623514,2025-04,63323053075,11380572,46.2,AMERISOURCEBERGEN DRUG CORPORATION
626925,2025-03,65219047410,12395051,763.0,MCKESSON CORPORATION
626925,2025-05,65219047220,12395049,822.0,MCKESSON CORPORATION
626941,2024-10,65219038905,420586452,2814.0,"FRESENIUS KABI, LLC"
626941,2024-10,65219038910,420668090,5488.0,"FRESENIUS KABI, LLC"
631298,2024-10,65219047030,420704583,2142.0,"FRESENIUS USA MARKETING, INC. DBA FRESENIUS MEDICAL CARE NORTH AMERICA"
631298,2025-02,63323053075,11380572,143.14,"FRESENIUS KABI USA, LLC"
631298,2025-02,65219022450,12163985,227.76,"FRESENIUS KABI USA, LLC"
631298,2025-04,63323082475,11329176,220.0,"MEDLINE INDUSTRIES, LP"
635761,2025-10,,421183301,144.92000000000002,"MEDLINE INDUSTRIES, LP"
635761,2025-10,,421183300,136.68,"MEDLINE INDUSTRIES, LP"
635761,2025-10,63323017876,10907278,301.5,"MEDLINE INDUSTRIES, LP"
635761,2025-10,63323053075,11380572,39.8,"MEDLINE INDUSTRIES, LP"
635761,2025-10,63323062610,11319858,80.4,"MEDLINE INDUSTRIES, LP"
635761,2025-10,63323082474,11329175,58.79,"MEDLINE INDUSTRIES, LP"
635761,2025-10,63323082476,11329177,46.23,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219011810,420586437,134.67,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219014410,420586440,134.67,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219038910,420668090,58.29,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219045830,421064697,198.99,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219046850,421084613,2261.25,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219047030,420704583,1121.5900000000001,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219047220,12395049,795.96,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219047410,12395051,2572.8,"MEDLINE INDUSTRIES, LP"
635761,2025-10,65219047910,420787916,1511.52,"MEDLINE INDUSTRIES, LP"
635761,2025-11,,421183299,4401.1,"MEDLINE INDUSTRIES, LP"
635761,2025-11,,421183301,248.44,"MEDLINE INDUSTRIES, LP"
635761,2025-11,,421183300,1093.44,"MEDLINE INDUSTRIES, LP"
635761,2025-11,63323017876,10907278,301.5,"MEDLINE INDUSTRIES, LP"
635761,2025-11,63323068610,12233541,40.4,"MEDLINE INDUSTRIES, LP"
635761,2025-11,63323068810,12233543,40.4,"MEDLINE INDUSTRIES, LP"
635761,2025-11,63323086910,11756373,141.7,"MEDLINE INDUSTRIES, LP"
635761,2025-11,63323087074,11756377,226.72,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219000601,12121078,1382.88,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219001001,12121082,172.86,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219011810,420586437,134.67,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219038910,420668090,116.58,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219045660,421023672,383.51,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219045830,421064697,397.98,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219046020,421064701,144.72,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219046450,421064699,159.8,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219046660,421084611,1085.4,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219046850,421084613,3015.01,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219047030,420704583,1588.9199999999998,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219047220,12395049,928.62,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219047410,12395051,6432.0,"MEDLINE INDUSTRIES, LP"
635761,2025-11,65219047910,420787916,6046.08,"MEDLINE INDUSTRIES, LP"
635761,2025-12,,421183299,1997.14,"MEDLINE INDUSTRIES, LP"
635761,2025-12,,421183301,372.54999999999995,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323017876,10907278,603.0,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323053075,11380572,39.8,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323062610,11319858,120.56,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323068310,12233539,80.72,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323082474,11329175,58.79,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323082476,11329177,46.23,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323086910,11756373,113.36,"MEDLINE INDUSTRIES, LP"
635761,2025-12,63323087074,11756377,170.04,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219011810,420586437,269.34000000000003,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219014410,420586440,336.62,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219038910,420668090,233.16,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219045660,421023672,575.25,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219045830,421064697,497.47,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219046020,421064701,397.84000000000003,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219046660,421084611,723.6,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219046850,421084613,5501.63,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219047030,420704583,2149.43,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219047220,12395049,1227.1100000000001,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219047410,12395051,7717.12,"MEDLINE INDUSTRIES, LP"
635761,2025-12,65219047910,420787916,7556.1,"MEDLINE INDUSTRIES, LP"
643639,2024-10,65219047030,420704583,15915.0,"FRESENIUS KABI USA, LLC"
643639,2024-10,65219047220,12395049,9369.6,"FRESENIUS KABI USA, LLC"
643639,2024-10,65219047410,12395051,9287.2,"FRESENIUS KABI USA, LLC"
643639,2024-10,65219047910,420787916,17690.0,"FRESENIUS KABI USA, LLC"
643639,2024-11,65219047030,420704583,1971.0,"FRESENIUS KABI USA, LLC"
643639,2024-11,65219047220,12395049,1386.0,"FRESENIUS KABI USA, LLC"
643639,2024-11,65219047410,12395051,3885.0,"FRESENIUS KABI USA, LLC"
643639,2024-11,65219047910,420787916,2620.0,"FRESENIUS KABI USA, LLC"
643639,2024-12,63323062655,11319861,13355.0,"FRESENIUS KABI USA, LLC"
643639,2024-12,63323086910,11756373,917.5,"FRESENIUS KABI USA, LLC"
643639,2024-12,63323087310,11756378,7407.5,"FRESENIUS KABI USA, LLC"
643639,2024-12,65219047220,12395049,6930.0,"FRESENIUS KABI USA, LLC"
643639,2024-12,65219047410,12395051,7770.0,"FRESENIUS KABI USA, LLC"
643639,2024-12,65219047910,420787916,41920.0,"FRESENIUS KABI USA, LLC"
643639,2025-01,65219047220,12395049,2310.0,"FRESENIUS KABI USA, LLC"
643795,2024-01,63323062600,11319852,96.2,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES"
643795,2024-10,65219047030,420704583,1324.8,"FRESENIUS KABI USA, LLC"
