facility_id,month_year,reference_number,manufacturer_catalog_number,vendor_name,tae_spend,tae_units
KY0111,2025-07,421183301,416410,"MEDLINE INDUSTRIES, LP",123.60000000000001,6.0
MD0002,2025-11,11756371,63323086774,"FRESENIUS KABI USA, LLC",75.6,2.0
KY0026,2025-12,11329176,63323082475,"MEDLINE INDUSTRIES, LP",82.0,2.0
745175,2024-07,11756378,63323087310,BAXTER HEALTHCARE CORPORATION,68.97,3.0
KY0111,2025-11,12233541,63323068610,"MEDLINE INDUSTRIES, LP",201.0,5.0
714817,2025-01,420586442,65219014810,"FRESENIUS KABI USA, LLC",3952.0,40.0
KY0026,2025-08,420586437,65219011810,"MEDLINE INDUSTRIES, LP",67.0,2.0
668178,2025-03,11756377,63323087074,"FRESENIUS KABI USA, LLC",917.5,25.0
668178,2024-12,11380572,63323053075,"FRESENIUS KABI USA, LLC",42.0,1.0
KY0203,2025-08,421084611,65219046660,"MEDLINE INDUSTRIES, LP",900.0,10.0
714819,2025-08,421064697,65219045830,"FRESENIUS KABI USA, LLC",99.0,2.0
635761,2025-12,420586440,65219014410,"MEDLINE INDUSTRIES, LP",336.62,10.0
714757,2025-04,12233537,63323066910,"FRESENIUS KABI USA, LLC",4120.0,100.0
714757,2025-07,11319861,63323062655,"FRESENIUS KABI USA, LLC",429.0,13.0
799963,2024-11,11329177,63323082476,"FRESENIUS KABI, LLC",577.0,25.0
TX0134,2025-11,11756373,63323086910,"MEDLINE INDUSTRIES, LP",340.08,12.0
805555,2024-07,11756378,63323087310,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",34.05,1.0
KY0026,2025-09,421183301,416410,"MEDLINE INDUSTRIES, LP",247.2,12.0
661860,2025-05,10907278,63323017876,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",189.75,5.0
KY0084,2025-06,11756377,63323087074,"MEDLINE INDUSTRIES, LP",74.04,1.0
714817,2025-11,421183300,499030,"FRESENIUS KABI USA, LLC",170.0,5.0
AZ2090,2024-10,12163985,65219022450,"FRESENIUS KABI USA, LLC",200.0,20.0
KY0074,2024-11,421079338,65219047720,"FRESENIUS KABI USA, LLC",6852.6,141.0
714757,2025-08,420586442,65219014810,"FRESENIUS KABI USA, LLC",834.0,20.0
FL2004,2024-12,421023672,65219045660,"FRESENIUS KABI, LLC",2580.0,20.0
NC0071,2025-06,421084611,65219046660,"FRESENIUS KABI USA, LLC",630.0,7.0
KY0111,2025-09,421183301,416410,"MEDLINE INDUSTRIES, LP",103.0,5.0
714814,2025-09,421183301,416410,"FRESENIUS KABI USA, LLC",123.6,6.0
TX0058,2024-10,12163985,65219022450,"FRESENIUS KABI USA, LLC",2598.0,30.0
AA6530,2025-11,11319858,63323062610,"MEDLINE INDUSTRIES, LP",36.28,2.0
TX0034,2024-11,12233541,63323068610,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",45.76,1.0
AP0345,2024-03,420586449,65219025810,AMERISOURCEBERGEN DRUG CORPORATION,1284.53,3.0
KY0059,2025-12,421064701,65219046020,"MEDLINE INDUSTRIES, LP",144.0,4.0
635761,2025-10,11329175,63323082474,"MEDLINE INDUSTRIES, LP",58.79,1.0
OH2004,2025-04,10907278,63323017876,"FRESENIUS KABI, LLC",180.0,6.0
FL2004,2024-11,11319858,63323062610,"FRESENIUS KABI USA, LLC",1410.0,60.0
OH2004,2025-09,421079338,65219047720,"FRESENIUS KABI, LLC",43.0,1.0
KY0084,2025-10,421064701,65219046020,"MEDLINE INDUSTRIES, LP",36.0,1.0
KY0026,2025-10,10907278,63323017876,"MEDLINE INDUSTRIES, LP",30.0,1.0
AA6530,2024-12,11756378,63323087310,"FRESENIUS KABI USA, LLC",76.2,3.0
AA6530,2024-12,11756373,63323086910,"FRESENIUS KABI USA, LLC",203.2,8.0
714819,2025-10,421064701,65219046020,"FRESENIUS KABI USA, LLC",36.0,1.0
NC0084,2025-09,421183299,506030,"FRESENIUS KABI USA, LLC",846.4,23.0
781795,2025-11,420586440,65219014410,"MEDLINE INDUSTRIES, LP",167.5,5.0
KY0026,2025-11,420586437,65219011810,"MEDLINE INDUSTRIES, LP",100.5,3.0
799963,2024-12,10907278,63323017876,"FRESENIUS KABI, LLC",1048.0,20.0
TX2005,2024-11,10907278,63323017876,"FRESENIUS KABI USA, LLC",124.8,4.0
765013,2025-01,10907278,63323017876,"FRESENIUS KABI, LLC",27.0,1.0
668178,2025-03,12233543,63323068810,"FRESENIUS KABI USA, LLC",100.19999999999999,2.0
MD0002,2025-02,11756377,63323087074,"FRESENIUS KABI USA, LLC",203.2,8.0
TX0058,2024-11,12233541,63323068610,"FRESENIUS KABI USA, LLC",182.5,5.0
KY0084,2025-08,420586440,65219014410,"MEDLINE INDUSTRIES, LP",268.0,8.0
714814,2025-10,421183301,416410,"FRESENIUS KABI USA, LLC",61.8,3.0
714817,2025-10,11756377,63323087074,"FRESENIUS KABI USA, LLC",253.79999999999998,9.0
