transaction_date,reference_number,manufacturer_catalog_number,facility_vendor_catalog_num,facility_product_description,vendor_name,landed_spend,base_spend,quantity,pkg_uom
2025-06-26 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION 2 LT STERILE WATER 2000 ML FLE,"CARDINAL HEALTH 200, LLC",132.0,132.0,4.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL H2O 2L 1 STP SETUP F,"CARDINAL HEALTH 414, LLC",52.88,52.88,1.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,61352D0737,WATER VENTILATOR,"OWENS & MINOR DISTRIBUTION, INC.",316.6,316.6,10.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION  WATER STR/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",198.0,198.0,6.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,STERILE WATER FOR INHALATION 2000 ML,"MEDLINE INDUSTRIES, LP",100.74,100.74,3.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER SOL F/INHALATION 2000ML BAG,"MEDLINE INDUSTRIES, LP",213.2,213.2,4.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,HUMIDIFIER STR 2000ML 2D0737,"MEDLINE INDUSTRIES, LP",1353.0,1353.0,41.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER HUMIDIFIER AIRLIFE 2000ML FLEXIBLE BAG STERI,"MEDLINE INDUSTRIES, LP",105.76,105.76,2.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STER F/INHALATION 2000ML BG,"MEDLINE INDUSTRIES, LP",663.4,663.4,20.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHL H2O 2000ML FLXB BG CNTNR STRL LF ARL,"MEDLINE INDUSTRIES, LP",99.0,98.41,3.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,"STERILE WATER FOR INHALATION, 2,000 ML BAG","MEDLINE INDUSTRIES, LP",317.28,317.28,6.0,CA
